trait,condition,layer,SNP,chr,ps,p_wald,gene,r2
Sum_MG_over_TG_log10safe,CTL,sumratio,3:64633568,3,64633568,1.106649e-10,SORBI_3003G318650,0.897698
Sum_MG_over_TG_log10safe,CTL,sumratio,3:64633589,3,64633589,1.106649e-10,SORBI_3003G318650,0.897698
Sum_MG_over_TG_log10safe,CTL,sumratio,3:64633599,3,64633599,1.106649e-10,SORBI_3003G318650,0.897698
Sum_MG_over_TG_log10safe,CTL,sumratio,3:64633627,3,64633627,1.106649e-10,SORBI_3003G318650,0.897698
Sum_MG_over_TG_log10safe,CTL,sumratio,3:64633678,3,64633678,1.106649e-10,SORBI_3003G318650,0.897698
Sum_MG_over_TG_log10safe,CTL,sumratio,3:64633690,3,64633690,1.106649e-10,SORBI_3003G318650,0.897698
Sum_MG_over_TG_log10safe,CTL,sumratio,3:64633692,3,64633692,1.106649e-10,SORBI_3003G318650,0.897698
Sum_MG_over_TG_log10safe,CTL,sumratio,3:64633568,3,64633568,1.106649e-10,SORBI_3003G318650,0.685207
Sum_MG_over_TG_log10safe,CTL,sumratio,3:64633589,3,64633589,1.106649e-10,SORBI_3003G318650,0.685207
Sum_MG_over_TG_log10safe,CTL,sumratio,3:64633599,3,64633599,1.106649e-10,SORBI_3003G318650,0.685207
Sum_MG_over_TG_log10safe,CTL,sumratio,3:64633627,3,64633627,1.106649e-10,SORBI_3003G318650,0.685207
Sum_MG_over_TG_log10safe,CTL,sumratio,3:64633678,3,64633678,1.106649e-10,SORBI_3003G318650,0.685207
Sum_MG_over_TG_log10safe,CTL,sumratio,3:64633690,3,64633690,1.106649e-10,SORBI_3003G318650,0.685207
Sum_MG_over_TG_log10safe,CTL,sumratio,3:64633692,3,64633692,1.106649e-10,SORBI_3003G318650,0.685207
Sum_MG_over_TG_log10safe,CTL,sumratio,9:50957035,9,50957035,1.946785e-10,SORBI_3009G153366,0.763621
Sum_MG_over_TG_log10safe,CTL,sumratio,9:50957036,9,50957036,1.946785e-10,SORBI_3009G153366,0.763621
Sum_MG_over_TG_log10safe,CTL,sumratio,9:50957035,9,50957035,1.946785e-10,SORBI_3009G153366,0.747267
Sum_MG_over_TG_log10safe,CTL,sumratio,9:50957036,9,50957036,1.946785e-10,SORBI_3009G153366,0.747267
Sum_MG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,2.130021e-10,SORBI_3002G373900,0.935611
Sum_MG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,2.130021e-10,SORBI_3002G373800,0.930287
Sum_MG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,2.130021e-10,SORBI_3002G373900,0.924727
Sum_MG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,2.130021e-10,SORBI_3002G373900,0.92388
Sum_MG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,2.130021e-10,SORBI_3002G373800,0.917487
Sum_MG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,2.130021e-10,SORBI_3002G373800,0.914963
Sum_MG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,2.130021e-10,SORBI_3002G373900,0.913018
Sum_MG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,2.130021e-10,SORBI_3002G373800,0.901579
Sum_MG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,2.130021e-10,SORBI_3002G373800,0.766344
Sum_MG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,2.130021e-10,SORBI_3002G373800,0.759312
Sum_MG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,2.130021e-10,SORBI_3002G373800,0.755895
Sum_MG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,2.130021e-10,SORBI_3002G373800,0.752292
Sum_MG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,2.130021e-10,SORBI_3002G373800,0.748873
Sum_MG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,2.130021e-10,SORBI_3002G373800,0.745189
