trait,condition,layer,SNP,chr,ps,p_wald,gene,r2
Sum_MGDG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,1.255042e-10,SORBI_3002G373900,0.935611
Sum_MGDG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,1.255042e-10,SORBI_3002G373800,0.930287
Sum_MGDG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,1.255042e-10,SORBI_3002G373900,0.924727
Sum_MGDG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,1.255042e-10,SORBI_3002G373900,0.92388
Sum_MGDG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,1.255042e-10,SORBI_3002G373800,0.917487
Sum_MGDG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,1.255042e-10,SORBI_3002G373800,0.914963
Sum_MGDG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,1.255042e-10,SORBI_3002G373900,0.913018
Sum_MGDG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,1.255042e-10,SORBI_3002G373800,0.901579
Sum_MGDG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,1.255042e-10,SORBI_3002G373800,0.766344
Sum_MGDG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,1.255042e-10,SORBI_3002G373800,0.759312
Sum_MGDG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,1.255042e-10,SORBI_3002G373800,0.755895
Sum_MGDG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,1.255042e-10,SORBI_3002G373800,0.752292
Sum_MGDG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,1.255042e-10,SORBI_3002G373800,0.748873
Sum_MGDG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,1.255042e-10,SORBI_3002G373800,0.745189
Sum_MGDG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,1.255042e-10,SORBI_3002G373800,0.738292
Sum_MGDG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,1.255042e-10,SORBI_3002G373800,0.734767
Sum_MGDG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,1.255042e-10,SORBI_3002G373800,0.691138
Sum_MGDG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,1.255042e-10,SORBI_3002G373800,0.689594
Sum_MGDG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,1.255042e-10,SORBI_3002G373800,0.685175
Sum_MGDG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,1.255042e-10,SORBI_3002G373800,0.68378
Sum_MGDG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,1.255042e-10,SORBI_3002G373800,0.679533
Sum_MGDG_over_TG_log10safe,CTL,sumratio,2:73175366,2,73175366,1.255042e-10,SORBI_3002G373800,0.675081
Sum_MGDG_over_TG_log10safe,CTL,sumratio,3:64633568,3,64633568,1.743319e-10,SORBI_3003G318650,0.897698
Sum_MGDG_over_TG_log10safe,CTL,sumratio,3:64633589,3,64633589,1.743319e-10,SORBI_3003G318650,0.897698
Sum_MGDG_over_TG_log10safe,CTL,sumratio,3:64633599,3,64633599,1.743319e-10,SORBI_3003G318650,0.897698
Sum_MGDG_over_TG_log10safe,CTL,sumratio,3:64633627,3,64633627,1.743319e-10,SORBI_3003G318650,0.897698
Sum_MGDG_over_TG_log10safe,CTL,sumratio,3:64633678,3,64633678,1.743319e-10,SORBI_3003G318650,0.897698
Sum_MGDG_over_TG_log10safe,CTL,sumratio,3:64633690,3,64633690,1.743319e-10,SORBI_3003G318650,0.897698
Sum_MGDG_over_TG_log10safe,CTL,sumratio,3:64633692,3,64633692,1.743319e-10,SORBI_3003G318650,0.897698
Sum_MGDG_over_TG_log10safe,CTL,sumratio,3:64633568,3,64633568,1.743319e-10,SORBI_3003G318650,0.685207
Sum_MGDG_over_TG_log10safe,CTL,sumratio,3:64633589,3,64633589,1.743319e-10,SORBI_3003G318650,0.685207
Sum_MGDG_over_TG_log10safe,CTL,sumratio,3:64633599,3,64633599,1.743319e-10,SORBI_3003G318650,0.685207
Sum_MGDG_over_TG_log10safe,CTL,sumratio,3:64633627,3,64633627,1.743319e-10,SORBI_3003G318650,0.685207
Sum_MGDG_over_TG_log10safe,CTL,sumratio,3:64633678,3,64633678,1.743319e-10,SORBI_3003G318650,0.685207
Sum_MGDG_over_TG_log10safe,CTL,sumratio,3:64633690,3,64633690,1.743319e-10,SORBI_3003G318650,0.685207
Sum_MGDG_over_TG_log10safe,CTL,sumratio,3:64633692,3,64633692,1.743319e-10,SORBI_3003G318650,0.685207
Sum_MGDG_over_TG_log10safe,CTL,sumratio,9:50957035,9,50957035,5.723686e-10,SORBI_3009G153366,0.763621
Sum_MGDG_over_TG_log10safe,CTL,sumratio,9:50957036,9,50957036,5.723686e-10,SORBI_3009G153366,0.763621
Sum_MGDG_over_TG_log10safe,CTL,sumratio,9:50957035,9,50957035,5.723686e-10,SORBI_3009G153366,0.747267
Sum_MGDG_over_TG_log10safe,CTL,sumratio,9:50957036,9,50957036,5.723686e-10,SORBI_3009G153366,0.747267
Sum_MGDG_over_TG_log10safe,CTL,sumratio,9:50956939,9,50956939,7.583901e-10,SORBI_3009G153366,0.774155
Sum_MGDG_over_TG_log10safe,CTL,sumratio,9:50957075,9,50957075,7.583901e-10,SORBI_3009G153366,0.774155
Sum_MGDG_over_TG_log10safe,CTL,sumratio,9:50956939,9,50956939,7.583901e-10,SORBI_3009G153366,0.757591
Sum_MGDG_over_TG_log10safe,CTL,sumratio,9:50957075,9,50957075,7.583901e-10,SORBI_3009G153366,0.757591
Sum_MGDG_over_TG_log10safe,CTL,sumratio,9:50957045,9,50957045,8.738003e-10,SORBI_3009G153366,0.752344
Sum_MGDG_over_TG_log10safe,CTL,sumratio,9:50957050,9,50957050,8.738003e-10,SORBI_3009G153366,0.752344
Sum_MGDG_over_TG_log10safe,CTL,sumratio,9:50957045,9,50957045,8.738003e-10,SORBI_3009G153366,0.735163
Sum_MGDG_over_TG_log10safe,CTL,sumratio,9:50957050,9,50957050,8.738003e-10,SORBI_3009G153366,0.735163
Sum_MGDG_over_TG_log10safe,CTL,sumratio,9:50957058,9,50957058,1.180687e-09,SORBI_3009G153366,0.763137
Sum_MGDG_over_TG_log10safe,CTL,sumratio,9:50957058,9,50957058,1.180687e-09,SORBI_3009G153366,0.745728
Sum_MGDG_over_TG_log10safe,CTL,sumratio,9:50957090,9,50957090,5.826707e-09,SORBI_3009G153366,0.763137
Sum_MGDG_over_TG_log10safe,CTL,sumratio,9:50957102,9,50957102,5.826707e-09,SORBI_3009G153366,0.763137
Sum_MGDG_over_TG_log10safe,CTL,sumratio,9:50957090,9,50957090,5.826707e-09,SORBI_3009G153366,0.745728
Sum_MGDG_over_TG_log10safe,CTL,sumratio,9:50957102,9,50957102,5.826707e-09,SORBI_3009G153366,0.745728
