trait,condition,layer,SNP,chr,ps,p_wald,gene,r2
DG(16:0_18:0),CTL,individual,2:23356847,2,23356847,6.227707e-19,SORBI_3002G142600,1
DG(16:0_18:0),CTL,individual,2:23356847,2,23356847,6.227707e-19,SORBI_3002G142600,1
DG(16:0_18:0),CTL,individual,2:23356850,2,23356850,6.227707e-19,SORBI_3002G142600,1
DG(16:0_18:0),CTL,individual,2:23356850,2,23356850,6.227707e-19,SORBI_3002G142600,1
DG(16:0_18:0),CTL,individual,2:23356851,2,23356851,6.227707e-19,SORBI_3002G142600,1
DG(16:0_18:0),CTL,individual,2:23356851,2,23356851,6.227707e-19,SORBI_3002G142600,1
DG(16:0_18:0),CTL,individual,2:23356874,2,23356874,6.227707e-19,SORBI_3002G142600,1
DG(16:0_18:0),CTL,individual,2:23356874,2,23356874,6.227707e-19,SORBI_3002G142600,1
DG(16:0_18:0),CTL,individual,2:23356883,2,23356883,6.227707e-19,SORBI_3002G142600,1
DG(16:0_18:0),CTL,individual,2:23356883,2,23356883,6.227707e-19,SORBI_3002G142600,1
DG(16:0_18:0),CTL,individual,4:41655226,4,41655226,1.38226e-13,SORBI_3004G141800,1
DG(16:0_18:0),CTL,individual,4:41655226,4,41655226,1.38226e-13,SORBI_3004G141800,1
DG(16:0_18:0),CTL,individual,9:56530933,9,56530933,1.962411e-09,SORBI_3009G222600,1
DG(16:0_18:0),CTL,individual,9:56530933,9,56530933,1.962411e-09,SORBI_3009G222600,1
DG(16:0_18:0),CTL,individual,9:56530933,9,56530933,1.962411e-09,SORBI_3009G222600,0.949703
DG(16:0_18:0),CTL,individual,9:56530933,9,56530933,1.962411e-09,SORBI_3009G222500,0.924575
DG(16:0_18:0),CTL,individual,9:56530933,9,56530933,1.962411e-09,SORBI_3009G222600,0.924575
DG(16:0_18:0),CTL,individual,9:56530933,9,56530933,1.962411e-09,SORBI_3009G222600,0.913159
DG(16:0_18:0),CTL,individual,9:56530933,9,56530933,1.962411e-09,SORBI_3009G222700,0.800349
DG(16:0_18:0),CTL,individual,9:56530933,9,56530933,1.962411e-09,SORBI_3009G222800,0.758738
DG(16:0_18:0),CTL,individual,9:56530933,9,56530933,1.962411e-09,SORBI_3009G222800,0.751212
DG(16:0_18:0),CTL,individual,9:56530933,9,56530933,1.962411e-09,SORBI_3009G222600,0.707571
DG(16:0_18:0),CTL,individual,9:56530933,9,56530933,1.962411e-09,SORBI_3009G222200,0.690521
DG(16:0_18:0),CTL,individual,9:56530933,9,56530933,1.962411e-09,SORBI_3009G222200,0.684119
DG(16:0_18:0),CTL,individual,9:56530933,9,56530933,1.962411e-09,SORBI_3009G222700,0.622983
DG(16:0_18:0),CTL,individual,9:56530933,9,56530933,1.962411e-09,SORBI_3009G222600,0.602174
DG(16:0_18:0),CTL,individual,9:56531160,9,56531160,2.585078e-09,SORBI_3009G222600,1
DG(16:0_18:0),CTL,individual,9:56531160,9,56531160,2.585078e-09,SORBI_3009G222600,1
DG(16:0_18:0),CTL,individual,9:56531160,9,56531160,2.585078e-09,SORBI_3009G222600,0.949703
DG(16:0_18:0),CTL,individual,9:56531160,9,56531160,2.585078e-09,SORBI_3009G222500,0.895784
DG(16:0_18:0),CTL,individual,9:56531160,9,56531160,2.585078e-09,SORBI_3009G222600,0.895784
DG(16:0_18:0),CTL,individual,9:56531160,9,56531160,2.585078e-09,SORBI_3009G222600,0.885971
DG(16:0_18:0),CTL,individual,9:56531160,9,56531160,2.585078e-09,SORBI_3009G222700,0.773075
DG(16:0_18:0),CTL,individual,9:56531160,9,56531160,2.585078e-09,SORBI_3009G222800,0.720953
DG(16:0_18:0),CTL,individual,9:56531160,9,56531160,2.585078e-09,SORBI_3009G222800,0.70425
