trait,condition,layer,SNP,chr,ps,p_wald,gene,r2
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262531,1,12262531,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262531,1,12262531,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262539,1,12262539,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262539,1,12262539,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262584,1,12262584,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262584,1,12262584,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262601,1,12262601,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262601,1,12262601,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262621,1,12262621,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262621,1,12262621,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262681,1,12262681,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262681,1,12262681,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262688,1,12262688,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262688,1,12262688,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262696,1,12262696,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262696,1,12262696,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262730,1,12262730,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262730,1,12262730,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262738,1,12262738,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262738,1,12262738,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262761,1,12262761,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262761,1,12262761,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262786,1,12262786,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262786,1,12262786,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262791,1,12262791,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262791,1,12262791,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262832,1,12262832,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262832,1,12262832,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262850,1,12262850,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262850,1,12262850,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262869,1,12262869,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262869,1,12262869,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262877,1,12262877,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262877,1,12262877,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262996,1,12262996,7.205369e-10,SORBI_3001G152700,1
Sum_PE_over_GalCer_log10safe,CTL,sumratio,1:12262996,1,12262996,7.205369e-10,SORBI_3001G152700,1
