GeneID	GeneName	Family_SubFamily	Protein_class	GO_MF	GO_BP	GO_CC	Chromosome	Gene_Start	Gene_End	Best_P_Value	N_sig_SNPs	Max_r2	N_Phenotypes	Phenotypes
SORBI_3010G136200	SLH domain-containing protein	SLH DOMAIN PROTEIN (PTHR33740:SF1)	""	""	""	""	10	20533978	20546912	4.284987e-23	2	0.909128	34	Sum_AEG_over_Cer_log10safe; Sum_AEG_over_DG_log10safe; Sum_AEG_over_DGDG_log10safe; Sum_AEG_over_FA_log10safe; Sum_AEG_over_GalCer_log10safe; Sum_AEG_over_LPC_log10safe; Sum_AEG_over_LPE_log10safe; Sum_AEG_over_MG_log10safe; Sum_AEG_over_MGDG_log10safe; Sum_AEG_over_PA_log10safe; Sum_AEG_over_PC_log10safe; Sum_AEG_over_PE_log10safe; Sum_AEG_over_PG_log10safe; Sum_AEG_over_PS_log10safe; Sum_AEG_over_SM_log10safe; Sum_AEG_over_SQDG_log10safe; Sum_AEG_over_TG_log10safe; Sum_PC_over_AEG_log10safe; Sum_PC_over_Cer_log10safe; Sum_PC_over_DG_log10safe; Sum_PC_over_DGDG_log10safe; Sum_PC_over_FA_log10safe; Sum_PC_over_GalCer_log10safe; Sum_PC_over_LPC_log10safe; Sum_PC_over_LPE_log10safe; Sum_PC_over_MG_log10safe; Sum_PC_over_MGDG_log10safe; Sum_PC_over_PA_log10safe; Sum_PC_over_PE_log10safe; Sum_PC_over_PG_log10safe; Sum_PC_over_PS_log10safe; Sum_PC_over_SM_log10safe; Sum_PC_over_SQDG_log10safe; Sum_PC_over_TG_log10safe
SORBI_3010G136300	Uncharacterized protein	PHOSPHATIDYLETHANOLAMINE-BINDING PROTEIN 4 (PTHR11362:SF82)	protease inhibitor(PC00191)	""	""	""	10	20628782	20630945	4.284987e-23	2	0.905083	34	Sum_AEG_over_Cer_log10safe; Sum_AEG_over_DG_log10safe; Sum_AEG_over_DGDG_log10safe; Sum_AEG_over_FA_log10safe; Sum_AEG_over_GalCer_log10safe; Sum_AEG_over_LPC_log10safe; Sum_AEG_over_LPE_log10safe; Sum_AEG_over_MG_log10safe; Sum_AEG_over_MGDG_log10safe; Sum_AEG_over_PA_log10safe; Sum_AEG_over_PC_log10safe; Sum_AEG_over_PE_log10safe; Sum_AEG_over_PG_log10safe; Sum_AEG_over_PS_log10safe; Sum_AEG_over_SM_log10safe; Sum_AEG_over_SQDG_log10safe; Sum_AEG_over_TG_log10safe; Sum_PC_over_AEG_log10safe; Sum_PC_over_Cer_log10safe; Sum_PC_over_DG_log10safe; Sum_PC_over_DGDG_log10safe; Sum_PC_over_FA_log10safe; Sum_PC_over_GalCer_log10safe; Sum_PC_over_LPC_log10safe; Sum_PC_over_LPE_log10safe; Sum_PC_over_MG_log10safe; Sum_PC_over_MGDG_log10safe; Sum_PC_over_PA_log10safe; Sum_PC_over_PE_log10safe; Sum_PC_over_PG_log10safe; Sum_PC_over_PS_log10safe; Sum_PC_over_SM_log10safe; Sum_PC_over_SQDG_log10safe; Sum_PC_over_TG_log10safe
SORBI_3010G136400	Uncharacterized protein	""	""	""	""	""	10	20743999	20744666	4.284987e-23	2	0.879765	34	Sum_AEG_over_Cer_log10safe; Sum_AEG_over_DG_log10safe; Sum_AEG_over_DGDG_log10safe; Sum_AEG_over_FA_log10safe; Sum_AEG_over_GalCer_log10safe; Sum_AEG_over_LPC_log10safe; Sum_AEG_over_LPE_log10safe; Sum_AEG_over_MG_log10safe; Sum_AEG_over_MGDG_log10safe; Sum_AEG_over_PA_log10safe; Sum_AEG_over_PC_log10safe; Sum_AEG_over_PE_log10safe; Sum_AEG_over_PG_log10safe; Sum_AEG_over_PS_log10safe; Sum_AEG_over_SM_log10safe; Sum_AEG_over_SQDG_log10safe; Sum_AEG_over_TG_log10safe; Sum_PC_over_AEG_log10safe; Sum_PC_over_Cer_log10safe; Sum_PC_over_DG_log10safe; Sum_PC_over_DGDG_log10safe; Sum_PC_over_FA_log10safe; Sum_PC_over_GalCer_log10safe; Sum_PC_over_LPC_log10safe; Sum_PC_over_LPE_log10safe; Sum_PC_over_MG_log10safe; Sum_PC_over_MGDG_log10safe; Sum_PC_over_PA_log10safe; Sum_PC_over_PE_log10safe; Sum_PC_over_PG_log10safe; Sum_PC_over_PS_log10safe; Sum_PC_over_SM_log10safe; Sum_PC_over_SQDG_log10safe; Sum_PC_over_TG_log10safe
SORBI_3010G136450	CCHC-type domain-containing protein	OS11G0296500 PROTEIN (PTHR23002:SF89)	RNA metabolism protein(PC00031)	nucleic acid binding(GO:0003676);single-stranded RNA binding(GO:0003727);mRNA binding(GO:0003729);zinc ion binding(GO:0008270);translation regulator activity(GO:0045182)	positive regulation of cytoplasmic translation(GO:2000767)	cytoplasm(GO:0005737)	10	20767863	20769800	4.284987e-23	2	0.9533	34	Sum_AEG_over_Cer_log10safe; Sum_AEG_over_DG_log10safe; Sum_AEG_over_DGDG_log10safe; Sum_AEG_over_FA_log10safe; Sum_AEG_over_GalCer_log10safe; Sum_AEG_over_LPC_log10safe; Sum_AEG_over_LPE_log10safe; Sum_AEG_over_MG_log10safe; Sum_AEG_over_MGDG_log10safe; Sum_AEG_over_PA_log10safe; Sum_AEG_over_PC_log10safe; Sum_AEG_over_PE_log10safe; Sum_AEG_over_PG_log10safe; Sum_AEG_over_PS_log10safe; Sum_AEG_over_SM_log10safe; Sum_AEG_over_SQDG_log10safe; Sum_AEG_over_TG_log10safe; Sum_PC_over_AEG_log10safe; Sum_PC_over_Cer_log10safe; Sum_PC_over_DG_log10safe; Sum_PC_over_DGDG_log10safe; Sum_PC_over_FA_log10safe; Sum_PC_over_GalCer_log10safe; Sum_PC_over_LPC_log10safe; Sum_PC_over_LPE_log10safe; Sum_PC_over_MG_log10safe; Sum_PC_over_MGDG_log10safe; Sum_PC_over_PA_log10safe; Sum_PC_over_PE_log10safe; Sum_PC_over_PG_log10safe; Sum_PC_over_PS_log10safe; Sum_PC_over_SM_log10safe; Sum_PC_over_SQDG_log10safe; Sum_PC_over_TG_log10safe
SORBI_3010G136500	Uncharacterized protein	""	""	""	""	""	10	20915018	20918157	4.284987e-23	2	0.924692	34	Sum_AEG_over_Cer_log10safe; Sum_AEG_over_DG_log10safe; Sum_AEG_over_DGDG_log10safe; Sum_AEG_over_FA_log10safe; Sum_AEG_over_GalCer_log10safe; Sum_AEG_over_LPC_log10safe; Sum_AEG_over_LPE_log10safe; Sum_AEG_over_MG_log10safe; Sum_AEG_over_MGDG_log10safe; Sum_AEG_over_PA_log10safe; Sum_AEG_over_PC_log10safe; Sum_AEG_over_PE_log10safe; Sum_AEG_over_PG_log10safe; Sum_AEG_over_PS_log10safe; Sum_AEG_over_SM_log10safe; Sum_AEG_over_SQDG_log10safe; Sum_AEG_over_TG_log10safe; Sum_PC_over_AEG_log10safe; Sum_PC_over_Cer_log10safe; Sum_PC_over_DG_log10safe; Sum_PC_over_DGDG_log10safe; Sum_PC_over_FA_log10safe; Sum_PC_over_GalCer_log10safe; Sum_PC_over_LPC_log10safe; Sum_PC_over_LPE_log10safe; Sum_PC_over_MG_log10safe; Sum_PC_over_MGDG_log10safe; Sum_PC_over_PA_log10safe; Sum_PC_over_PE_log10safe; Sum_PC_over_PG_log10safe; Sum_PC_over_PS_log10safe; Sum_PC_over_SM_log10safe; Sum_PC_over_SQDG_log10safe; Sum_PC_over_TG_log10safe
SORBI_3010G136601	Uncharacterized protein	""	""	""	""	""	10	20915589	20916470	4.284987e-23	2	0.924692	34	Sum_AEG_over_Cer_log10safe; Sum_AEG_over_DG_log10safe; Sum_AEG_over_DGDG_log10safe; Sum_AEG_over_FA_log10safe; Sum_AEG_over_GalCer_log10safe; Sum_AEG_over_LPC_log10safe; Sum_AEG_over_LPE_log10safe; Sum_AEG_over_MG_log10safe; Sum_AEG_over_MGDG_log10safe; Sum_AEG_over_PA_log10safe; Sum_AEG_over_PC_log10safe; Sum_AEG_over_PE_log10safe; Sum_AEG_over_PG_log10safe; Sum_AEG_over_PS_log10safe; Sum_AEG_over_SM_log10safe; Sum_AEG_over_SQDG_log10safe; Sum_AEG_over_TG_log10safe; Sum_PC_over_AEG_log10safe; Sum_PC_over_Cer_log10safe; Sum_PC_over_DG_log10safe; Sum_PC_over_DGDG_log10safe; Sum_PC_over_FA_log10safe; Sum_PC_over_GalCer_log10safe; Sum_PC_over_LPC_log10safe; Sum_PC_over_LPE_log10safe; Sum_PC_over_MG_log10safe; Sum_PC_over_MGDG_log10safe; Sum_PC_over_PA_log10safe; Sum_PC_over_PE_log10safe; Sum_PC_over_PG_log10safe; Sum_PC_over_PS_log10safe; Sum_PC_over_SM_log10safe; Sum_PC_over_SQDG_log10safe; Sum_PC_over_TG_log10safe
SORBI_3010G136600	Uncharacterized protein	""	""	""	""	""	10	20933645	20941696	4.284987e-23	2	0.920827	34	Sum_AEG_over_Cer_log10safe; Sum_AEG_over_DG_log10safe; Sum_AEG_over_DGDG_log10safe; Sum_AEG_over_FA_log10safe; Sum_AEG_over_GalCer_log10safe; Sum_AEG_over_LPC_log10safe; Sum_AEG_over_LPE_log10safe; Sum_AEG_over_MG_log10safe; Sum_AEG_over_MGDG_log10safe; Sum_AEG_over_PA_log10safe; Sum_AEG_over_PC_log10safe; Sum_AEG_over_PE_log10safe; Sum_AEG_over_PG_log10safe; Sum_AEG_over_PS_log10safe; Sum_AEG_over_SM_log10safe; Sum_AEG_over_SQDG_log10safe; Sum_AEG_over_TG_log10safe; Sum_PC_over_AEG_log10safe; Sum_PC_over_Cer_log10safe; Sum_PC_over_DG_log10safe; Sum_PC_over_DGDG_log10safe; Sum_PC_over_FA_log10safe; Sum_PC_over_GalCer_log10safe; Sum_PC_over_LPC_log10safe; Sum_PC_over_LPE_log10safe; Sum_PC_over_MG_log10safe; Sum_PC_over_MGDG_log10safe; Sum_PC_over_PA_log10safe; Sum_PC_over_PE_log10safe; Sum_PC_over_PG_log10safe; Sum_PC_over_PS_log10safe; Sum_PC_over_SM_log10safe; Sum_PC_over_SQDG_log10safe; Sum_PC_over_TG_log10safe
SORBI_3010G144500	Uncharacterized protein	""	""	""	""	""	10	39420768	39422050	1.30833e-21	1	0.814209	34	Sum_AEG_over_Cer_log10safe; Sum_AEG_over_DG_log10safe; Sum_AEG_over_DGDG_log10safe; Sum_AEG_over_FA_log10safe; Sum_AEG_over_GalCer_log10safe; Sum_AEG_over_LPC_log10safe; Sum_AEG_over_LPE_log10safe; Sum_AEG_over_MG_log10safe; Sum_AEG_over_MGDG_log10safe; Sum_AEG_over_PA_log10safe; Sum_AEG_over_PC_log10safe; Sum_AEG_over_PE_log10safe; Sum_AEG_over_PG_log10safe; Sum_AEG_over_PS_log10safe; Sum_AEG_over_SM_log10safe; Sum_AEG_over_SQDG_log10safe; Sum_AEG_over_TG_log10safe; Sum_PC_over_AEG_log10safe; Sum_PC_over_Cer_log10safe; Sum_PC_over_DG_log10safe; Sum_PC_over_DGDG_log10safe; Sum_PC_over_FA_log10safe; Sum_PC_over_GalCer_log10safe; Sum_PC_over_LPC_log10safe; Sum_PC_over_LPE_log10safe; Sum_PC_over_MG_log10safe; Sum_PC_over_MGDG_log10safe; Sum_PC_over_PA_log10safe; Sum_PC_over_PE_log10safe; Sum_PC_over_PG_log10safe; Sum_PC_over_PS_log10safe; Sum_PC_over_SM_log10safe; Sum_PC_over_SQDG_log10safe; Sum_PC_over_TG_log10safe
SORBI_3010G140600	BolA-like protein	PROTEIN BOLA4, CHLOROPLASTIC_MITOCHONDRIAL (PTHR46230:SF4)	""	""	iron-sulfur cluster assembly(GO:0016226)	chloroplast(GO:0009507)	10	27920444	27926002	4.460071e-15	1	0.868414	34	Sum_AEG_over_Cer_log10safe; Sum_AEG_over_DG_log10safe; Sum_AEG_over_DGDG_log10safe; Sum_AEG_over_FA_log10safe; Sum_AEG_over_GalCer_log10safe; Sum_AEG_over_LPC_log10safe; Sum_AEG_over_LPE_log10safe; Sum_AEG_over_MG_log10safe; Sum_AEG_over_MGDG_log10safe; Sum_AEG_over_PA_log10safe; Sum_AEG_over_PC_log10safe; Sum_AEG_over_PE_log10safe; Sum_AEG_over_PG_log10safe; Sum_AEG_over_PS_log10safe; Sum_AEG_over_SM_log10safe; Sum_AEG_over_SQDG_log10safe; Sum_AEG_over_TG_log10safe; Sum_PC_over_AEG_log10safe; Sum_PC_over_Cer_log10safe; Sum_PC_over_DG_log10safe; Sum_PC_over_DGDG_log10safe; Sum_PC_over_FA_log10safe; Sum_PC_over_GalCer_log10safe; Sum_PC_over_LPC_log10safe; Sum_PC_over_LPE_log10safe; Sum_PC_over_MG_log10safe; Sum_PC_over_MGDG_log10safe; Sum_PC_over_PA_log10safe; Sum_PC_over_PE_log10safe; Sum_PC_over_PG_log10safe; Sum_PC_over_PS_log10safe; Sum_PC_over_SM_log10safe; Sum_PC_over_SQDG_log10safe; Sum_PC_over_TG_log10safe
SORBI_3010G150325	F-box domain-containing protein	F-BOX DOMAIN-CONTAINING PROTEIN (PTHR34591:SF23)	""	""	""	""	10	43371492	43382976	1.414634e-13	1	0.865628	34	Sum_AEG_over_Cer_log10safe; Sum_AEG_over_DG_log10safe; Sum_AEG_over_DGDG_log10safe; Sum_AEG_over_FA_log10safe; Sum_AEG_over_GalCer_log10safe; Sum_AEG_over_LPC_log10safe; Sum_AEG_over_LPE_log10safe; Sum_AEG_over_MG_log10safe; Sum_AEG_over_MGDG_log10safe; Sum_AEG_over_PA_log10safe; Sum_AEG_over_PC_log10safe; Sum_AEG_over_PE_log10safe; Sum_AEG_over_PG_log10safe; Sum_AEG_over_PS_log10safe; Sum_AEG_over_SM_log10safe; Sum_AEG_over_SQDG_log10safe; Sum_AEG_over_TG_log10safe; Sum_PC_over_AEG_log10safe; Sum_PC_over_Cer_log10safe; Sum_PC_over_DG_log10safe; Sum_PC_over_DGDG_log10safe; Sum_PC_over_FA_log10safe; Sum_PC_over_GalCer_log10safe; Sum_PC_over_LPC_log10safe; Sum_PC_over_LPE_log10safe; Sum_PC_over_MG_log10safe; Sum_PC_over_MGDG_log10safe; Sum_PC_over_PA_log10safe; Sum_PC_over_PE_log10safe; Sum_PC_over_PG_log10safe; Sum_PC_over_PS_log10safe; Sum_PC_over_SM_log10safe; Sum_PC_over_SQDG_log10safe; Sum_PC_over_TG_log10safe
