trait,condition,layer,SNP,chr,ps,p_wald,gene,r2
Sum_MGDG_over_PS_log10safe,CTL,sumratio,3:64633568,3,64633568,3.089103e-11,SORBI_3003G318650,0.897698
Sum_MGDG_over_PS_log10safe,CTL,sumratio,3:64633589,3,64633589,3.089103e-11,SORBI_3003G318650,0.897698
Sum_MGDG_over_PS_log10safe,CTL,sumratio,3:64633599,3,64633599,3.089103e-11,SORBI_3003G318650,0.897698
Sum_MGDG_over_PS_log10safe,CTL,sumratio,3:64633627,3,64633627,3.089103e-11,SORBI_3003G318650,0.897698
Sum_MGDG_over_PS_log10safe,CTL,sumratio,3:64633678,3,64633678,3.089103e-11,SORBI_3003G318650,0.897698
Sum_MGDG_over_PS_log10safe,CTL,sumratio,3:64633690,3,64633690,3.089103e-11,SORBI_3003G318650,0.897698
Sum_MGDG_over_PS_log10safe,CTL,sumratio,3:64633692,3,64633692,3.089103e-11,SORBI_3003G318650,0.897698
Sum_MGDG_over_PS_log10safe,CTL,sumratio,3:64633568,3,64633568,3.089103e-11,SORBI_3003G318650,0.685207
Sum_MGDG_over_PS_log10safe,CTL,sumratio,3:64633589,3,64633589,3.089103e-11,SORBI_3003G318650,0.685207
Sum_MGDG_over_PS_log10safe,CTL,sumratio,3:64633599,3,64633599,3.089103e-11,SORBI_3003G318650,0.685207
Sum_MGDG_over_PS_log10safe,CTL,sumratio,3:64633627,3,64633627,3.089103e-11,SORBI_3003G318650,0.685207
Sum_MGDG_over_PS_log10safe,CTL,sumratio,3:64633678,3,64633678,3.089103e-11,SORBI_3003G318650,0.685207
Sum_MGDG_over_PS_log10safe,CTL,sumratio,3:64633690,3,64633690,3.089103e-11,SORBI_3003G318650,0.685207
Sum_MGDG_over_PS_log10safe,CTL,sumratio,3:64633692,3,64633692,3.089103e-11,SORBI_3003G318650,0.685207
Sum_MGDG_over_PS_log10safe,CTL,sumratio,2:73175366,2,73175366,2.856255e-10,SORBI_3002G373900,0.935611
Sum_MGDG_over_PS_log10safe,CTL,sumratio,2:73175366,2,73175366,2.856255e-10,SORBI_3002G373800,0.930287
Sum_MGDG_over_PS_log10safe,CTL,sumratio,2:73175366,2,73175366,2.856255e-10,SORBI_3002G373900,0.924727
Sum_MGDG_over_PS_log10safe,CTL,sumratio,2:73175366,2,73175366,2.856255e-10,SORBI_3002G373900,0.92388
Sum_MGDG_over_PS_log10safe,CTL,sumratio,2:73175366,2,73175366,2.856255e-10,SORBI_3002G373800,0.917487
