GeneID	GeneName	Flag	Conditions	Ontologies	Classes	Max_recurrence	Best_GWAS_p	Max_r2	Max_fold	Max_intervals	Specific	N_terms	Chr	Start	Family	Terms
SORBI_3004G008300	aldehyde oxygenase (deformylating)	metabolic enzyme	LIN	BP;CC;MF	AEG;DG;DGDG;FA;GalCer;MG;MGDG;PA;PC;PE;PG;SQDG;TG	16	2.605726e-21	0.786585	323.74	10	yes	5	4	733525	ALDEHYDE OXYGENASE (DEFORMYLATING) (PTHR11863:SF152)	aldehyde oxygenase (deformylating) activity | endoplasmic reticulum membrane | iron ion binding | lipid biosynthetic process | sphingolipid C4-monooxygenase activity
SORBI_3004G008800	aldehyde oxygenase (deformylating)	metabolic enzyme	LIN	BP;CC;MF	AEG;DG;DGDG;FA;GalCer;MG;MGDG;PA;PC;PE;PG;SQDG;TG	16	2.605726e-21	0.787903	323.74	10	yes	5	4	763419	ALDEHYDE OXYGENASE (DEFORMYLATING) (PTHR11863:SF152)	aldehyde oxygenase (deformylating) activity | endoplasmic reticulum membrane | iron ion binding | lipid biosynthetic process | sphingolipid C4-monooxygenase activity
SORBI_3004G008900	aldehyde oxygenase (deformylating)	metabolic enzyme	LIN	BP;CC;MF	AEG;DG;DGDG;FA;GalCer;MG;MGDG;PA;PC;PE;PG;SQDG;TG	16	2.605726e-21	0.812798	323.74	10	yes	5	4	769869	ALDEHYDE OXYGENASE (DEFORMYLATING) (PTHR11863:SF152)	aldehyde oxygenase (deformylating) activity | endoplasmic reticulum membrane | iron ion binding | lipid biosynthetic process | sphingolipid C4-monooxygenase activity
SORBI_3001G248200	Acylamino-acid-releasing enzyme	""	CTL	BP;CC;MF	PC	1	3.424946e-09	0.568666	298.96	4	yes	5	1	26553388	ACYLAMINO-ACID-RELEASING ENZYME 2 (PTHR42776:SF18)	cytoplasm | omega peptidase activity | peptidase activity | proteolysis | serine-type peptidase activity
SORBI_3001G248300	acylaminoacyl-peptidase	metabolic enzyme	CTL	BP;CC;MF	PC	1	3.424946e-09	0.582546	298.96	4	yes	5	1	26559121	ACYLAMINO-ACID-RELEASING ENZYME (PTHR42776:SF4)	cytoplasm | omega peptidase activity | proteolysis | serine-type endopeptidase activity | serine-type peptidase activity
SORBI_3002G085800	UDP-glycosyltransferases domain-containing protein	metabolic enzyme	CTL;LIN	MF	PG;TG	2	4.251319e-15	0.845145	246.1	6	yes	2	2	9133860	UDP-GLYCOSYLTRANSFERASES DOMAIN-CONTAINING PROTEIN (PTHR11926:SF1376)	UDP-glucosyltransferase activity | UDP-glycosyltransferase activity
SORBI_3002G085100	Glycosyltransferase	metabolic enzyme	CTL	MF	PG	2	9.610667e-14	0.40034	246.1	1	single locus	2	2	9041063	FLAVONOL 3-O-GLUCOSYLTRANSFERASE UGT76E12-RELATED (PTHR11926:SF1494)	UDP-glucosyltransferase activity | UDP-glycosyltransferase activity
SORBI_3010G103800	Uncharacterized protein	""	CTL	CC	DGDG	1	2.664867e-09	0.913459	230.63	1	single locus	1	10	9759306	LARGE RIBOSOMAL SUBUNIT PROTEIN ML53 (PTHR33618:SF1)	mitochondrial large ribosomal subunit
SORBI_3010G103900	Large ribosomal subunit protein mL43	""	CTL	CC	DGDG	1	2.664867e-09	0.899713	230.63	1	single locus	1	10	9762551	LARGE RIBOSOMAL SUBUNIT PROTEIN ML43 (PTHR21396:SF2)	mitochondrial large ribosomal subunit
SORBI_3005G106600	Protein kinase domain-containing protein	metabolic enzyme	LIN	BP	PS	1	1.498665e-11	1	79.61	2	yes	1	5	20000011	MITOGEN-ACTIVATED PROTEIN KINASE 14 (PTHR24055:SF379)	MAPK cascade
