GeneID	GeneName	Family_SubFamily	Protein_class	GO_MF	GO_BP	GO_CC	Chromosome	Gene_Start	Gene_End	Best_SNP	Best_SNP_Position	Best_P_Value	N_Phenotypes	Phenotypes	All_SNPs	N_SNPs	P_Values
SORBI_3005G148950	Uncharacterized protein						5	61707212	61708971	SNP_61715312	61715312	1.55E-16	13	TG(16:0_16:0_18:1); TG(16:0_16:0_18:2); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:0_18:1_22:1); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2)	SNP_61715312	1	1.6e-16; 6.1e-11; 4.7e-13; 1.2e-14; 1.3e-11; 1.8e-15; 1.0e-11; 2.3e-13; 9.7e-13; 4.4e-12; 8.9e-15; 1.3e-12; 8.9e-11
SORBI_3008G064400	B box-type domain-containing protein	OS01G0517800 PROTEIN (PTHR31065:SF7)	DNA-binding transcription factor(PC00218)				8	7063212	7064392	SNP_7059062	7059062	1.19E-11	12	TG(16:0_16:0_18:1); TG(16:0_16:0_18:2); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2)	SNP_7059062; SNP_7060549	2	2.5e-10; 2.7e-10; 6.7e-11; 2.4e-10; 4.6e-10; 1.2e-11; 1.3e-10; 1.8e-10; 2.5e-09; 1.8e-10; 1.8e-10; 1.3e-10
SORBI_3008G064500	MalT-like TPR region domain-containing protein	EXPRESSED PROTEIN (PTHR37910:SF2)					8	7071170	7073505	SNP_7059062	7059062	1.19E-11	12	TG(16:0_16:0_18:1); TG(16:0_16:0_18:2); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2)	SNP_7059062; SNP_7060549	2	2.5e-10; 2.7e-10; 6.7e-11; 2.4e-10; 4.6e-10; 1.2e-11; 1.3e-10; 1.8e-10; 2.5e-09; 1.8e-10; 1.8e-10; 1.3e-10
SORBI_3006G037200	Uncharacterized protein						6	14022825	14026260	SNP_14041798	14041798	4.52E-19	11	TG(16:0_16:0_18:1); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2)	SNP_14041798	1	5.1e-15; 4.5e-19; 2.4e-16; 4.0e-18; 5.9e-13; 4.8e-15; 2.1e-17; 2.3e-14; 1.5e-15; 4.4e-17; 3.9e-11
SORBI_3001G317950	Uncharacterized protein						1	60632087	60636554	SNP_60651888	60651888	3.05E-16	11	TG(16:0_16:0_18:1); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2)	SNP_60651888	1	3.2e-12; 3.1e-16; 1.2e-13; 3.5e-15; 4.0e-11; 1.3e-12; 3.7e-14; 5.2e-12; 9.7e-13; 2.3e-14; 2.4e-09
SORBI_3001G318000	glutathione transferase	GLUTATHIONE S-TRANSFERASE (PTHR11260:SF501)	transferase(PC00220)	glutathione transferase activity(GO:0004364);transferase activity(GO:0016740)	glutathione metabolic process(GO:0006749)	cytoplasm(GO:0005737)	1	60644084	60645212	SNP_60651888	60651888	3.05E-16	11	TG(16:0_16:0_18:1); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2)	SNP_60651888	1	3.2e-12; 3.1e-16; 1.2e-13; 3.5e-15; 4.0e-11; 1.3e-12; 3.7e-14; 5.2e-12; 9.7e-13; 2.3e-14; 2.4e-09
SORBI_3001G318100	Uncharacterized protein						1	60647011	60650614	SNP_60651888	60651888	3.05E-16	11	TG(16:0_16:0_18:1); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2)	SNP_60651888	1	3.2e-12; 3.1e-16; 1.2e-13; 3.5e-15; 4.0e-11; 1.3e-12; 3.7e-14; 5.2e-12; 9.7e-13; 2.3e-14; 2.4e-09
SORBI_3001G318200	Glutathione S-transferase	GLUTATHIONE S-TRANSFERASE (PTHR11260:SF771)	transferase(PC00220)	glutathione transferase activity(GO:0004364);transferase activity(GO:0016740)	glutathione metabolic process(GO:0006749)	cytoplasm(GO:0005737)	1	60652885	60654357	SNP_60651888	60651888	3.05E-16	11	TG(16:0_16:0_18:1); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2)	SNP_60651888	1	3.2e-12; 3.1e-16; 1.2e-13; 3.5e-15; 4.0e-11; 1.3e-12; 3.7e-14; 5.2e-12; 9.7e-13; 2.3e-14; 2.4e-09
SORBI_3001G318300	Glutathione S-transferase	GLUTATHIONE TRANSFERASE (PTHR11260:SF786)	transferase(PC00220)	glutathione transferase activity(GO:0004364);transferase activity(GO:0016740)	glutathione metabolic process(GO:0006749)	cytoplasm(GO:0005737)	1	60655125	60656158	SNP_60651888	60651888	3.05E-16	11	TG(16:0_16:0_18:1); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2)	SNP_60651888	1	3.2e-12; 3.1e-16; 1.2e-13; 3.5e-15; 4.0e-11; 1.3e-12; 3.7e-14; 5.2e-12; 9.7e-13; 2.3e-14; 2.4e-09
SORBI_3001G318366	Glutathione S-transferase			glutathione transferase activity(GO:0004364);transferase activity(GO:0016740)	glutathione metabolic process(GO:0006749)	cytoplasm(GO:0005737);cytosol(GO:0005829)	1	60663308	60665068	SNP_60651888	60651888	3.05E-16	11	TG(16:0_16:0_18:1); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2)	SNP_60651888	1	3.2e-12; 3.1e-16; 1.2e-13; 3.5e-15; 4.0e-11; 1.3e-12; 3.7e-14; 5.2e-12; 9.7e-13; 2.3e-14; 2.4e-09
SORBI_3001G318432	No apical meristem-associated C-terminal domain-containing protein	OS01G0527900 PROTEIN (PTHR45224:SF16)					1	60666903	60668479	SNP_60651888	60651888	3.05E-16	11	TG(16:0_16:0_18:1); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2)	SNP_60651888	1	3.2e-12; 3.1e-16; 1.2e-13; 3.5e-15; 4.0e-11; 1.3e-12; 3.7e-14; 5.2e-12; 9.7e-13; 2.3e-14; 2.4e-09
