GeneID	GeneName	Family_Subfamily	Protein_Class	GO_MF	GO_BP	GO_CC
SORBI_3002G026700	C2H2-type domain-containing protein					
SORBI_3007G051600	Uncharacterized protein					
SORBI_3007G010350	SH2 domain-containing protein	OS01G0536400 PROTEIN (PTHR10209:SF662)	oxidoreductase(PC00176)			
SORBI_3007G196900	Uncharacterized protein	SUBFAMILY NOT NAMED (PTHR34660:SF25)				
SORBI_3001G286050	Uncharacterized protein					
SORBI_3004G143801	Uncharacterized protein					
SORBI_3005G087600	AP2_ERF domain-containing protein	AP2 DOMAIN CONTAINING PROTEIN, EXPRESSED (PTHR31985:SF224)	DNA-binding transcription factor(PC00218)	DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
SORBI_3001G264100	Uncharacterized protein	NADP-DEPENDENT MANNITOL DEHYDROGENASE (PTHR42898:SF6)	reductase(PC00198)	oxidoreductase activity(GO:0016491)		
SORBI_3010G233200	Protein HEAT-STRESS-ASSOCIATED 32	INOSOSE DEHYDRATASE (PTHR12110:SF41)	isomerase(PC00135)		response to heat(GO:0009408)	
SORBI_3006G271300	C2 domain-containing protein	OS04G0682100 PROTEIN (PTHR46502:SF17)	calcium-binding protein(PC00060)			
SORBI_3002G388500	SART-1 family protein	U4_U6.U5 TRI-SNRNP-ASSOCIATED PROTEIN 1 (PTHR14152:SF5)	extracellular matrix protein(PC00102)		mRNA splicing, via spliceosome(GO:0000398);maturation of 5S rRNA(GO:0000481);mRNA cis splicing, via spliceosome(GO:0045292)	nucleus(GO:0005634);U4/U6 x U5 tri-snRNP complex(GO:0046540)
SORBI_3002G025400	DUF4220 domain-containing protein	DUF4220 DOMAIN-CONTAINING PROTEIN (PTHR31325:SF117)				
SORBI_3002G023100	J domain-containing protein	OS07G0124800 PROTEIN (PTHR45000:SF6)	chaperone(PC00072)			endoplasmic reticulum(GO:0005783)
