Condition	Layer	Trait	GeneID	Gene_Chr	Gene_Start	Gene_End	N_sig_SNPs	Best_P	Lead_SNP	Lead_Chr	Lead_BP	Max_r2
LIN	individual_lipids_final	11,14,17-Eicosatrienoic acid,(Z,Z,Z)-	SORBI_3008G081000	8	14279675	14282606	23	4.496153e-33	SNP_14527289	8	14527289	0.934886
LIN	individual_lipids_final	11,14,17-Eicosatrienoic acid,(Z,Z,Z)-	SORBI_3008G081150	8	14306896	14311314	23	4.496153e-33	SNP_14527289	8	14527289	0.96821
LIN	individual_lipids_final	11,14,17-Eicosatrienoic acid,(Z,Z,Z)-	SORBI_3008G081200	8	14313689	14316455	23	4.496153e-33	SNP_14527289	8	14527289	0.945672
LIN	individual_lipids_final	11,14,17-Eicosatrienoic acid,(Z,Z,Z)-	SORBI_3008G081400	8	14480361	14484229	23	4.496153e-33	SNP_14527289	8	14527289	0.95935
LIN	individual_lipids_final	11,14,17-Eicosatrienoic acid,(Z,Z,Z)-	SORBI_3008G081500	8	14583578	14588458	17	4.496153e-33	SNP_14527289	8	14527289	0.949922
LIN	individual_lipids_final	11,14,17-Eicosatrienoic acid,(Z,Z,Z)-	SORBI_3008G081900	8	14626347	14632978	10	4.496153e-33	SNP_14527289	8	14527289	0.956218
LIN	individual_lipids_final	11,14,17-Eicosatrienoic acid,(Z,Z,Z)-	SORBI_3008G082000	8	14638776	14644300	8	4.496153e-33	SNP_14527289	8	14527289	0.956218
LIN	individual_lipids_final	11,14,17-Eicosatrienoic acid,(Z,Z,Z)-	SORBI_3002G218600	2	61044965	61050441	20	7.642133e-27	SNP_61138282	2	61138282	0.52379
LIN	individual_lipids_final	11,14,17-Eicosatrienoic acid,(Z,Z,Z)-	SORBI_3002G218700	2	61051703	61054265	20	7.642133e-27	SNP_61138282	2	61138282	0.586102
LIN	individual_lipids_final	11,14,17-Eicosatrienoic acid,(Z,Z,Z)-	SORBI_3002G218800	2	61058710	61060530	20	7.642133e-27	SNP_61138282	2	61138282	0.54776
LIN	individual_lipids_final	11,14,17-Eicosatrienoic acid,(Z,Z,Z)-	SORBI_3002G219000	2	61066315	61069203	20	7.642133e-27	SNP_61138282	2	61138282	0.458125
LIN	individual_lipids_final	11,14,17-Eicosatrienoic acid,(Z,Z,Z)-	SORBI_3002G219100	2	61067554	61069995	20	7.642133e-27	SNP_61138282	2	61138282	0.489213
LIN	individual_lipids_final	11,14,17-Eicosatrienoic acid,(Z,Z,Z)-	SORBI_3002G219200	2	61076557	61078022	20	7.642133e-27	SNP_61138282	2	61138282	0.478387
LIN	individual_lipids_final	11,14,17-Eicosatrienoic acid,(Z,Z,Z)-	SORBI_3002G220100	2	61137725	61141714	20	7.642133e-27	SNP_61138282	2	61138282	1
LIN	individual_lipids_final	11,14,17-Eicosatrienoic acid,(Z,Z,Z)-	SORBI_3002G220200	2	61148112	61152657	20	7.642133e-27	SNP_61138282	2	61138282	1
LIN	individual_lipids_final	FA(22:1)	SORBI_3004G004800	4	418239	423162	77	2.605726e-21	SNP_541907	4	541907	0.76515
LIN	individual_lipids_final	FA(22:1)	SORBI_3004G005200	4	442658	448774	66	2.605726e-21	SNP_541907	4	541907	0.773038
LIN	individual_lipids_final	FA(22:1)	SORBI_3004G005300	4	449691	457201	80	2.605726e-21	SNP_541907	4	541907	1
LIN	individual_lipids_final	FA(22:1)	SORBI_3004G005700	4	473331	479945	78	2.605726e-21	SNP_541907	4	541907	0.809648
LIN	individual_lipids_final	FA(22:1)	SORBI_3004G006400	4	540868	542929	81	2.605726e-21	SNP_541907	4	541907	1
LIN	individual_lipids_final	FA(22:1)	SORBI_3004G006500	4	547159	548445	20	2.605726e-21	SNP_541907	4	541907	0.597
LIN	individual_lipids_final	FA(22:1)	SORBI_3004G006600	4	557329	568329	78	2.605726e-21	SNP_541907	4	541907	1
LIN	individual_lipids_final	FA(22:1)	SORBI_3004G006700	4	569120	572297	80	2.605726e-21	SNP_541907	4	541907	1
LIN	individual_lipids_final	FA(22:1)	SORBI_3004G006800	4	581473	588419	80	2.605726e-21	SNP_541907	4	541907	1
LIN	individual_lipids_final	FA(22:1)	SORBI_3004G006900	4	588992	602915	87	2.605726e-21	SNP_541907	4	541907	0.977469
LIN	individual_lipids_final	FA(22:1)	SORBI_3004G006966	4	592551	597048	81	2.605726e-21	SNP_541907	4	541907	0.977469
LIN	individual_lipids_final	FA(22:1)	SORBI_3004G007032	4	616824	618511	81	2.605726e-21	SNP_541907	4	541907	0.954864
LIN	individual_lipids_final	FA(22:1)	SORBI_3004G007100	4	618536	624413	82	2.605726e-21	SNP_541907	4	541907	0.943741
LIN	individual_lipids_final	FA(22:1)	SORBI_3004G007133	4	625847	638342	82	2.605726e-21	SNP_541907	4	541907	0.97689
LIN	individual_lipids_final	FA(22:1)	SORBI_3004G007200	4	637861	642805	81	2.605726e-21	SNP_541907	4	541907	0.988357
LIN	individual_lipids_final	FA(22:1)	SORBI_3004G007300	4	646027	651065	81	2.605726e-21	SNP_541907	4	541907	0.943817
LIN	individual_lipids_final	FA(22:1)	SORBI_3004G007400	4	659396	662379	81	2.605726e-21	SNP_541907	4	541907	0.954496
LIN	individual_lipids_final	FA(22:1)	SORBI_3004G007500	4	665105	667038	86	2.605726e-21	SNP_541907	4	541907	0.980904
LIN	individual_lipids_final	FA(22:1)	SORBI_3004G007600	4	678310	681085	27	2.605726e-21	SNP_541907	4	541907	0.584477
LIN	individual_lipids_final	FA(22:1)	SORBI_3004G007800	4	689918	693989	27	2.605726e-21	SNP_541907	4	541907	0.641602
LIN	individual_lipids_final	FA(22:1)	SORBI_3004G008300	4	733525	734761	26	2.605726e-21	SNP_541907	4	541907	0.786585
LIN	individual_lipids_final	FA(22:1)	SORBI_3004G008400	4	737647	740142	28	2.605726e-21	SNP_541907	4	541907	0.82244
LIN	individual_lipids_final	FA(22:1)	SORBI_3004G008500	4	740912	742790	28	2.605726e-21	SNP_541907	4	541907	0.840375
LIN	individual_lipids_final	FA(22:1)	SORBI_3004G008800	4	763419	764817	27	2.605726e-21	SNP_541907	4	541907	0.787903
LIN	individual_lipids_final	FA(22:1)	SORBI_3004G008900	4	769869	771113	28	2.605726e-21	SNP_541907	4	541907	0.812798
LIN	individual_lipids_final	FA(22:1)	SORBI_3004G009000	4	771148	774672	27	2.605726e-21	SNP_541907	4	541907	0.786045
LIN	individual_lipids_final	FA(22:1)	SORBI_3004G009100	4	777269	780862	27	2.605726e-21	SNP_541907	4	541907	0.787903
LIN	individual_lipids_final	FA(22:1)	SORBI_3003G087000	3	7543557	7549750	51	4.464413e-20	SNP_7732730	3	7732730	0.842978
LIN	individual_lipids_final	FA(22:1)	SORBI_3003G087100	3	7549923	7551848	51	4.464413e-20	SNP_7732730	3	7732730	0.854488
LIN	individual_lipids_final	FA(22:1)	SORBI_3003G087200	3	7551917	7555947	51	4.464413e-20	SNP_7732730	3	7732730	1
LIN	individual_lipids_final	FA(22:1)	SORBI_3003G087600	3	7603608	7606601	52	4.464413e-20	SNP_7732730	3	7732730	0.675054
LIN	individual_lipids_final	FA(22:1)	SORBI_3003G088200	3	7663763	7665433	48	4.464413e-20	SNP_7732730	3	7732730	0.643945
LIN	individual_lipids_final	FA(22:1)	SORBI_3003G088300	3	7665547	7667121	29	4.464413e-20	SNP_7732730	3	7732730	0.518643
LIN	individual_lipids_final	FA(22:1)	SORBI_3003G088400	3	7689356	7690085	23	4.464413e-20	SNP_7732730	3	7732730	0.55775
LIN	individual_lipids_final	FA(22:1)	SORBI_3003G088600	3	7709903	7719934	52	4.464413e-20	SNP_7732730	3	7732730	1
LIN	individual_lipids_final	FA(22:1)	SORBI_3003G088700	3	7724238	7726221	52	4.464413e-20	SNP_7732730	3	7732730	0.99034
LIN	individual_lipids_final	FA(22:1)	SORBI_3003G088800	3	7729188	7735211	52	4.464413e-20	SNP_7732730	3	7732730	1
LIN	individual_lipids_final	FA(22:1)	SORBI_3003G088900	3	7737004	7739534	52	4.464413e-20	SNP_7732730	3	7732730	1
LIN	individual_lipids_final	FA(22:1)	SORBI_3003G089000	3	7746012	7753329	49	4.464413e-20	SNP_7732730	3	7732730	1
LIN	individual_lipids_final	FA(22:1)	SORBI_3003G089100	3	7755435	7764805	49	4.464413e-20	SNP_7732730	3	7732730	1
LIN	individual_lipids_final	FA(22:1)	SORBI_3003G089200	3	7766846	7771748	49	4.464413e-20	SNP_7732730	3	7732730	1
LIN	individual_lipids_final	FA(22:1)	SORBI_3003G089300	3	7774183	7776929	49	4.464413e-20	SNP_7732730	3	7732730	1
LIN	individual_lipids_final	TG(16:0_18:2_18:3)	SORBI_3005G190800	5	67471498	67479566	47	4.63907e-20	SNP_67478688	5	67478688	1
LIN	individual_lipids_final	FA(22:1)	SORBI_3003G086600	3	7481946	7483573	19	1.967576e-19	SNP_7730712	3	7730712	0.632193
LIN	individual_lipids_final	TG(16:0_18:2_18:3)	SORBI_3005G190300	5	67433723	67434312	53	2.805234e-19	SNP_67472911	5	67472911	1
LIN	individual_lipids_final	TG(16:0_18:2_18:3)	SORBI_3005G190900	5	67480145	67482251	41	2.805234e-19	SNP_67472911	5	67472911	1
LIN	individual_lipids_final	TG(16:0_18:2_18:3)	SORBI_3005G191000	5	67483209	67484422	30	2.805234e-19	SNP_67472911	5	67472911	0.671301
LIN	individual_lipids_final	TG(16:0_18:2_18:3)	SORBI_3005G191101	5	67488332	67488962	45	2.805234e-19	SNP_67472911	5	67472911	1
LIN	individual_lipids_final	FA(22:1)	SORBI_3004G002350	4	184257	187536	36	3.849136e-19	SNP_437026	4	437026	0.477958
LIN	individual_lipids_final	FA(22:1)	SORBI_3004G002400	4	187849	190637	47	3.849136e-19	SNP_437026	4	437026	0.458773
LIN	individual_lipids_final	FA(22:1)	SORBI_3004G005000	4	432828	434187	58	3.849136e-19	SNP_437026	4	437026	0.554287
LIN	individual_lipids_final	11,14,17-Eicosatrienoic acid,(Z,Z,Z)-	SORBI_3002G003500	2	450973	452852	34	1.200912e-18	SNP_612131	2	612131	1
LIN	individual_lipids_final	11,14,17-Eicosatrienoic acid,(Z,Z,Z)-	SORBI_3002G003900	2	466621	469262	33	1.200912e-18	SNP_612131	2	612131	0.699946
LIN	individual_lipids_final	11,14,17-Eicosatrienoic acid,(Z,Z,Z)-	SORBI_3002G004100	2	470875	476395	33	1.200912e-18	SNP_612131	2	612131	0.639349
LIN	individual_lipids_final	11,14,17-Eicosatrienoic acid,(Z,Z,Z)-	SORBI_3002G004200	2	479205	483189	33	1.200912e-18	SNP_612131	2	612131	0.716962
