trait,condition,layer,SNP,chr,ps,p_wald,gene,r2
Sum_DG_over_LPE_log10safe,LIN,sumratio,1:7990363,1,7990363,6.496753e-13,SORBI_3001G101900,0.9139
Sum_DG_over_LPE_log10safe,LIN,sumratio,1:7990363,1,7990363,6.496753e-13,SORBI_3001G101700,0.86839
Sum_DG_over_LPE_log10safe,LIN,sumratio,1:7990363,1,7990363,6.496753e-13,SORBI_3001G101700,0.860507
Sum_DG_over_LPE_log10safe,LIN,sumratio,1:7990363,1,7990363,6.496753e-13,SORBI_3001G101700,0.852718
Sum_DG_over_LPE_log10safe,LIN,sumratio,1:7990363,1,7990363,6.496753e-13,SORBI_3001G101700,0.848432
Sum_DG_over_LPE_log10safe,LIN,sumratio,1:7990363,1,7990363,6.496753e-13,SORBI_3001G101700,0.837849
Sum_DG_over_LPE_log10safe,LIN,sumratio,1:7990363,1,7990363,6.496753e-13,SORBI_3001G103900,0.795471
Sum_DG_over_LPE_log10safe,LIN,sumratio,1:7990363,1,7990363,6.496753e-13,SORBI_3001G104000,0.795471
Sum_DG_over_LPE_log10safe,LIN,sumratio,1:7990363,1,7990363,6.496753e-13,SORBI_3001G104300,0.795471
Sum_DG_over_LPE_log10safe,LIN,sumratio,1:7990363,1,7990363,6.496753e-13,SORBI_3001G104400,0.795471
Sum_DG_over_LPE_log10safe,LIN,sumratio,1:7990363,1,7990363,6.496753e-13,SORBI_3001G102300,0.788371
Sum_DG_over_LPE_log10safe,LIN,sumratio,1:7990363,1,7990363,6.496753e-13,SORBI_3001G103300,0.788371
Sum_DG_over_LPE_log10safe,LIN,sumratio,1:7990363,1,7990363,6.496753e-13,SORBI_3001G104300,0.788371
Sum_DG_over_LPE_log10safe,LIN,sumratio,1:7990363,1,7990363,6.496753e-13,SORBI_3001G104400,0.788371
Sum_DG_over_LPE_log10safe,LIN,sumratio,1:7990363,1,7990363,6.496753e-13,SORBI_3001G102200,0.78782
Sum_DG_over_LPE_log10safe,LIN,sumratio,1:7990363,1,7990363,6.496753e-13,SORBI_3001G102300,0.78782
Sum_DG_over_LPE_log10safe,LIN,sumratio,1:7990363,1,7990363,6.496753e-13,SORBI_3001G103300,0.78782
