trait,condition,layer,SNP,chr,ps,p_wald,gene,r2
"9,12,13,TriHODE",CTL,individual,4:57914557,4,57914557,2.644811e-11,SORBI_3004G228400,0.530354
"9,12,13,TriHODE",CTL,individual,2:23356815,2,23356815,3.673692e-11,SORBI_3002G142600,1
"9,12,13,TriHODE",CTL,individual,2:23356815,2,23356815,3.673692e-11,SORBI_3002G142600,1
"9,12,13,TriHODE",CTL,individual,5:70942283,5,70942283,4.927144e-10,SORBI_3005G222700,1
"9,12,13,TriHODE",CTL,individual,5:70942283,5,70942283,4.927144e-10,SORBI_3005G222700,1
"9,12,13,TriHODE",CTL,individual,5:70942283,5,70942283,4.927144e-10,SORBI_3005G222700,0.930558
"9,12,13,TriHODE",CTL,individual,5:70942283,5,70942283,4.927144e-10,SORBI_3005G222700,0.727439
"9,12,13,TriHODE",CTL,individual,5:70942283,5,70942283,4.927144e-10,SORBI_3005G222700,0.701998
"9,12,13,TriHODE",CTL,individual,5:70942283,5,70942283,4.927144e-10,SORBI_3005G222700,0.701952
"9,12,13,TriHODE",CTL,individual,5:70942283,5,70942283,4.927144e-10,SORBI_3005G222700,0.695764
"9,12,13,TriHODE",CTL,individual,5:70942283,5,70942283,4.927144e-10,SORBI_3005G222700,0.685143
"9,12,13,TriHODE",CTL,individual,5:70942283,5,70942283,4.927144e-10,SORBI_3005G222700,0.685095
"9,12,13,TriHODE",CTL,individual,5:70942283,5,70942283,4.927144e-10,SORBI_3005G222800,0.650795
"9,12,13,TriHODE",CTL,individual,5:70942283,5,70942283,4.927144e-10,SORBI_3005G222800,0.61784
"9,12,13,TriHODE",CTL,individual,5:70942283,5,70942283,4.927144e-10,SORBI_3005G222800,0.613511
"9,12,13,TriHODE",CTL,individual,5:70942283,5,70942283,4.927144e-10,SORBI_3005G222800,0.613452
"9,12,13,TriHODE",CTL,individual,5:70942283,5,70942283,4.927144e-10,SORBI_3005G222700,0.612324
"9,12,13,TriHODE",CTL,individual,5:70942283,5,70942283,4.927144e-10,SORBI_3005G222800,0.605333
"9,12,13,TriHODE",CTL,individual,5:70942283,5,70942283,4.927144e-10,SORBI_3005G222700,0.592525
"9,12,13,TriHODE",CTL,individual,5:70942283,5,70942283,4.927144e-10,SORBI_3005G222800,0.585974
"9,12,13,TriHODE",CTL,individual,5:70942283,5,70942283,4.927144e-10,SORBI_3005G222700,0.577546
"9,12,13,TriHODE",CTL,individual,5:70942283,5,70942283,4.927144e-10,SORBI_3005G222700,0.570163
"9,12,13,TriHODE",CTL,individual,5:70942283,5,70942283,4.927144e-10,SORBI_3005G222700,0.562534
"9,12,13,TriHODE",CTL,individual,5:70942283,5,70942283,4.927144e-10,SORBI_3005G222700,0.550856
"9,12,13,TriHODE",CTL,individual,5:70942283,5,70942283,4.927144e-10,SORBI_3005G222700,0.550777
"9,12,13,TriHODE",CTL,individual,5:70942283,5,70942283,4.927144e-10,SORBI_3005G222700,0.545908
"9,12,13,TriHODE",CTL,individual,5:70942283,5,70942283,4.927144e-10,SORBI_3005G222700,0.536075
"9,12,13,TriHODE",CTL,individual,5:70942283,5,70942283,4.927144e-10,SORBI_3005G222700,0.527955
"9,12,13,TriHODE",CTL,individual,5:70942283,5,70942283,4.927144e-10,SORBI_3005G222700,0.509726
"9,12,13,TriHODE",CTL,individual,5:70942283,5,70942283,4.927144e-10,SORBI_3005G222900,0.506879
"9,12,13,TriHODE",CTL,individual,5:70942283,5,70942283,4.927144e-10,SORBI_3005G222700,0.44944
"9,12,13,TriHODE",CTL,individual,5:70942283,5,70942283,4.927144e-10,SORBI_3005G222650,0.4149
"9,12,13,TriHODE",CTL,individual,5:70942283,5,70942283,4.927144e-10,SORBI_3005G222900,0.400684
"9,12,13,TriHODE",CTL,individual,10:42395280,10,42395280,8.205878e-10,SORBI_3010G147500,0.683345
"9,12,13,TriHODE",CTL,individual,10:42395280,10,42395280,8.205878e-10,SORBI_3010G147350,0.681951
"9,12,13,TriHODE",CTL,individual,10:42395280,10,42395280,8.205878e-10,SORBI_3010G147300,0.57874
"9,12,13,TriHODE",CTL,individual,10:42395280,10,42395280,8.205878e-10,SORBI_3010G147250,0.537542
"9,12,13,TriHODE",CTL,individual,10:42395280,10,42395280,8.205878e-10,SORBI_3010G147300,0.525446
"9,12,13,TriHODE",CTL,individual,10:42395280,10,42395280,8.205878e-10,SORBI_3010G147350,0.517226
"9,12,13,TriHODE",CTL,individual,10:42395280,10,42395280,8.205878e-10,SORBI_3010G147350,0.514732
"9,12,13,TriHODE",CTL,individual,10:42395280,10,42395280,8.205878e-10,SORBI_3010G147300,0.514314
"9,12,13,TriHODE",CTL,individual,10:42395280,10,42395280,8.205878e-10,SORBI_3010G147250,0.49617
"9,12,13,TriHODE",CTL,individual,10:42395280,10,42395280,8.205878e-10,SORBI_3010G147300,0.496159
"9,12,13,TriHODE",CTL,individual,10:42395280,10,42395280,8.205878e-10,SORBI_3010G147250,0.492749
"9,12,13,TriHODE",CTL,individual,10:42395280,10,42395280,8.205878e-10,SORBI_3010G147300,0.479693
"9,12,13,TriHODE",CTL,individual,10:42395280,10,42395280,8.205878e-10,SORBI_3010G147250,0.464716
"9,12,13,TriHODE",CTL,individual,10:42395280,10,42395280,8.205878e-10,SORBI_3010G147300,0.463208
"9,12,13,TriHODE",CTL,individual,10:42395280,10,42395280,8.205878e-10,SORBI_3010G147833,0.461538
"9,12,13,TriHODE",CTL,individual,10:42395280,10,42395280,8.205878e-10,SORBI_3010G147966,0.461538
"9,12,13,TriHODE",CTL,individual,10:42395280,10,42395280,8.205878e-10,SORBI_3010G147350,0.447613
"9,12,13,TriHODE",CTL,individual,10:42395280,10,42395280,8.205878e-10,SORBI_3010G147300,0.438678
"9,12,13,TriHODE",CTL,individual,10:42395280,10,42395280,8.205878e-10,SORBI_3010G147300,0.414967
"9,12,13,TriHODE",CTL,individual,10:32599978,10,32599978,1.346805e-09,SORBI_3010G140800,0.752445
"9,12,13,TriHODE",CTL,individual,10:32599978,10,32599978,1.346805e-09,SORBI_3010G140800,0.726512
"9,12,13,TriHODE",CTL,individual,10:32599978,10,32599978,1.346805e-09,SORBI_3010G140800,0.575228
"9,12,13,TriHODE",CTL,individual,1:73371781,1,73371781,1.843625e-09,SORBI_3001G457600,1
"9,12,13,TriHODE",CTL,individual,1:73371781,1,73371781,1.843625e-09,SORBI_3001G457600,1
"9,12,13,TriHODE",CTL,individual,8:62336576,8,62336576,2.070431e-09,SORBI_3008G189200,1
"9,12,13,TriHODE",CTL,individual,8:62336576,8,62336576,2.070431e-09,SORBI_3008G189200,1
"9,12,13,TriHODE",CTL,individual,3:50106329,3,50106329,4.205869e-09,SORBI_3003G185600,0.894791
"9,12,13,TriHODE",CTL,individual,3:50106329,3,50106329,4.205869e-09,SORBI_3003G185600,0.844614
"9,12,13,TriHODE",CTL,individual,3:50106329,3,50106329,4.205869e-09,SORBI_3003G186000,0.826039
"9,12,13,TriHODE",CTL,individual,3:50106329,3,50106329,4.205869e-09,SORBI_3003G185300,0.816988
"9,12,13,TriHODE",CTL,individual,3:50106329,3,50106329,4.205869e-09,SORBI_3003G185500,0.816988
"9,12,13,TriHODE",CTL,individual,3:50106329,3,50106329,4.205869e-09,SORBI_3003G185600,0.816988
"9,12,13,TriHODE",CTL,individual,3:50106329,3,50106329,4.205869e-09,SORBI_3003G185800,0.816988
"9,12,13,TriHODE",CTL,individual,3:50106329,3,50106329,4.205869e-09,SORBI_3003G186000,0.816988
"9,12,13,TriHODE",CTL,individual,3:50106329,3,50106329,4.205869e-09,SORBI_3003G186200,0.816988
