GeneID	GeneName	Family_SubFamily	Protein_class	GO_MF	GO_BP	GO_CC	Chromosome	Gene_Start	Gene_End	Best_P_Value	N_sig_SNPs	Max_r2	N_Phenotypes	Phenotypes
SORBI_3004G004800	Soluble acid invertase	OS02G0106100 PROTEIN (PTHR31953:SF42)	""	hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);beta-fructofuranosidase activity(GO:0004564);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798)	carbohydrate metabolic process(GO:0005975)	vacuole(GO:0005773)	4	418239	423162	2.605726e-21	76	0.775515	20	FA; Sum_AEG_over_FA_log10safe; Sum_DGDG_over_FA_log10safe; Sum_FA_over_AEG_log10safe; Sum_FA_over_DG_log10safe; Sum_FA_over_DGDG_log10safe; Sum_FA_over_GalCer_log10safe; Sum_FA_over_MG_log10safe; Sum_FA_over_MGDG_log10safe; Sum_FA_over_PA_log10safe; Sum_FA_over_PC_log10safe; Sum_FA_over_PE_log10safe; Sum_FA_over_PG_log10safe; Sum_FA_over_SM_log10safe; Sum_FA_over_SQDG_log10safe; Sum_MG_over_FA_log10safe; Sum_MGDG_over_FA_log10safe; Sum_PC_over_FA_log10safe; Sum_SM_over_FA_log10safe; Sum_SQDG_over_FA_log10safe
SORBI_3004G005200	TMPIT-like protein	OS02G0106800 PROTEIN (PTHR21433:SF4)	""	""	""	membrane(GO:0016020)	4	442658	448774	2.605726e-21	67	0.738274	20	FA; Sum_AEG_over_FA_log10safe; Sum_DGDG_over_FA_log10safe; Sum_FA_over_AEG_log10safe; Sum_FA_over_DG_log10safe; Sum_FA_over_DGDG_log10safe; Sum_FA_over_GalCer_log10safe; Sum_FA_over_MG_log10safe; Sum_FA_over_MGDG_log10safe; Sum_FA_over_PA_log10safe; Sum_FA_over_PC_log10safe; Sum_FA_over_PE_log10safe; Sum_FA_over_PG_log10safe; Sum_FA_over_SM_log10safe; Sum_FA_over_SQDG_log10safe; Sum_MG_over_FA_log10safe; Sum_MGDG_over_FA_log10safe; Sum_PC_over_FA_log10safe; Sum_SM_over_FA_log10safe; Sum_SQDG_over_FA_log10safe
SORBI_3004G005300	Protein kinase domain-containing protein	OS02G0106900 PROTEIN (PTHR27001:SF522)	""	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524)	signal transduction(GO:0007165)	plasma membrane(GO:0005886)	4	449691	457201	2.605726e-21	80	1	20	FA; Sum_AEG_over_FA_log10safe; Sum_DGDG_over_FA_log10safe; Sum_FA_over_AEG_log10safe; Sum_FA_over_DG_log10safe; Sum_FA_over_DGDG_log10safe; Sum_FA_over_GalCer_log10safe; Sum_FA_over_MG_log10safe; Sum_FA_over_MGDG_log10safe; Sum_FA_over_PA_log10safe; Sum_FA_over_PC_log10safe; Sum_FA_over_PE_log10safe; Sum_FA_over_PG_log10safe; Sum_FA_over_SM_log10safe; Sum_FA_over_SQDG_log10safe; Sum_MG_over_FA_log10safe; Sum_MGDG_over_FA_log10safe; Sum_PC_over_FA_log10safe; Sum_SM_over_FA_log10safe; Sum_SQDG_over_FA_log10safe
SORBI_3004G005700	Peptidase S1 domain-containing protein	PEPTIDASE S1 DOMAIN-CONTAINING PROTEIN (PTHR18868:SF28)	""	""	""	""	4	473331	479945	2.605726e-21	78	0.818098	20	FA; Sum_AEG_over_FA_log10safe; Sum_DGDG_over_FA_log10safe; Sum_FA_over_AEG_log10safe; Sum_FA_over_DG_log10safe; Sum_FA_over_DGDG_log10safe; Sum_FA_over_GalCer_log10safe; Sum_FA_over_MG_log10safe; Sum_FA_over_MGDG_log10safe; Sum_FA_over_PA_log10safe; Sum_FA_over_PC_log10safe; Sum_FA_over_PE_log10safe; Sum_FA_over_PG_log10safe; Sum_FA_over_SM_log10safe; Sum_FA_over_SQDG_log10safe; Sum_MG_over_FA_log10safe; Sum_MGDG_over_FA_log10safe; Sum_PC_over_FA_log10safe; Sum_SM_over_FA_log10safe; Sum_SQDG_over_FA_log10safe
SORBI_3004G006400	Cytochrome P450	CYTOCHROME P450 89A2 (PTHR24298:SF892)	oxygenase(PC00177)	monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen(GO:0016709);heme binding(GO:0020037);metal ion binding(GO:0046872)	""	membrane(GO:0016020)	4	540868	542929	2.605726e-21	81	1	20	FA; Sum_AEG_over_FA_log10safe; Sum_DGDG_over_FA_log10safe; Sum_FA_over_AEG_log10safe; Sum_FA_over_DG_log10safe; Sum_FA_over_DGDG_log10safe; Sum_FA_over_GalCer_log10safe; Sum_FA_over_MG_log10safe; Sum_FA_over_MGDG_log10safe; Sum_FA_over_PA_log10safe; Sum_FA_over_PC_log10safe; Sum_FA_over_PE_log10safe; Sum_FA_over_PG_log10safe; Sum_FA_over_SM_log10safe; Sum_FA_over_SQDG_log10safe; Sum_MG_over_FA_log10safe; Sum_MGDG_over_FA_log10safe; Sum_PC_over_FA_log10safe; Sum_SM_over_FA_log10safe; Sum_SQDG_over_FA_log10safe
SORBI_3004G006500	Uncharacterized protein	PROTEIN ROH1A (PTHR31509:SF68)	""	""	""	membrane(GO:0016020)	4	547159	548445	2.605726e-21	21	0.592628	20	FA; Sum_AEG_over_FA_log10safe; Sum_DGDG_over_FA_log10safe; Sum_FA_over_AEG_log10safe; Sum_FA_over_DG_log10safe; Sum_FA_over_DGDG_log10safe; Sum_FA_over_GalCer_log10safe; Sum_FA_over_MG_log10safe; Sum_FA_over_MGDG_log10safe; Sum_FA_over_PA_log10safe; Sum_FA_over_PC_log10safe; Sum_FA_over_PE_log10safe; Sum_FA_over_PG_log10safe; Sum_FA_over_SM_log10safe; Sum_FA_over_SQDG_log10safe; Sum_MG_over_FA_log10safe; Sum_MGDG_over_FA_log10safe; Sum_PC_over_FA_log10safe; Sum_SM_over_FA_log10safe; Sum_SQDG_over_FA_log10safe
SORBI_3004G006600	JmjC domain-containing protein	LYSINE-SPECIFIC DEMETHYLASE JMJ25 (PTHR12549:SF11)	histone modifying enzyme(PC00261)	transcription coregulator activity(GO:0003712);chromatin DNA binding(GO:0031490);histone H3K9 demethylase activity(GO:0032454);metal ion binding(GO:0046872)	chromatin remodeling(GO:0006338);regulation of transcription by RNA polymerase II(GO:0006357)	histone deacetylase complex(GO:0000118);chromatin(GO:0000785);nucleus(GO:0005634)	4	557329	568329	2.605726e-21	78	1	20	FA; Sum_AEG_over_FA_log10safe; Sum_DGDG_over_FA_log10safe; Sum_FA_over_AEG_log10safe; Sum_FA_over_DG_log10safe; Sum_FA_over_DGDG_log10safe; Sum_FA_over_GalCer_log10safe; Sum_FA_over_MG_log10safe; Sum_FA_over_MGDG_log10safe; Sum_FA_over_PA_log10safe; Sum_FA_over_PC_log10safe; Sum_FA_over_PE_log10safe; Sum_FA_over_PG_log10safe; Sum_FA_over_SM_log10safe; Sum_FA_over_SQDG_log10safe; Sum_MG_over_FA_log10safe; Sum_MGDG_over_FA_log10safe; Sum_PC_over_FA_log10safe; Sum_SM_over_FA_log10safe; Sum_SQDG_over_FA_log10safe
SORBI_3004G006700	Uncharacterized protein	OS02G0109800 PROTEIN (PTHR46284:SF9)	microtubule binding motor protein(PC00156)	""	""	""	4	569120	572297	2.605726e-21	80	1	20	FA; Sum_AEG_over_FA_log10safe; Sum_DGDG_over_FA_log10safe; Sum_FA_over_AEG_log10safe; Sum_FA_over_DG_log10safe; Sum_FA_over_DGDG_log10safe; Sum_FA_over_GalCer_log10safe; Sum_FA_over_MG_log10safe; Sum_FA_over_MGDG_log10safe; Sum_FA_over_PA_log10safe; Sum_FA_over_PC_log10safe; Sum_FA_over_PE_log10safe; Sum_FA_over_PG_log10safe; Sum_FA_over_SM_log10safe; Sum_FA_over_SQDG_log10safe; Sum_MG_over_FA_log10safe; Sum_MGDG_over_FA_log10safe; Sum_PC_over_FA_log10safe; Sum_SM_over_FA_log10safe; Sum_SQDG_over_FA_log10safe
SORBI_3004G006800	Uncharacterized protein	DENEDDYLASE (PTHR35694:SF1)	""	""	""	""	4	581473	588419	2.605726e-21	72	1	20	FA; Sum_AEG_over_FA_log10safe; Sum_DGDG_over_FA_log10safe; Sum_FA_over_AEG_log10safe; Sum_FA_over_DG_log10safe; Sum_FA_over_DGDG_log10safe; Sum_FA_over_GalCer_log10safe; Sum_FA_over_MG_log10safe; Sum_FA_over_MGDG_log10safe; Sum_FA_over_PA_log10safe; Sum_FA_over_PC_log10safe; Sum_FA_over_PE_log10safe; Sum_FA_over_PG_log10safe; Sum_FA_over_SM_log10safe; Sum_FA_over_SQDG_log10safe; Sum_MG_over_FA_log10safe; Sum_MGDG_over_FA_log10safe; Sum_PC_over_FA_log10safe; Sum_SM_over_FA_log10safe; Sum_SQDG_over_FA_log10safe
SORBI_3004G006900	F-box domain-containing protein	F-BOX PROTEIN INTERACTION DOMAIN CONTAINING PROTEIN, EXPRESSED (PTHR47993:SF359)	""	""	""	""	4	588992	602915	2.605726e-21	87	0.978481	20	FA; Sum_AEG_over_FA_log10safe; Sum_DGDG_over_FA_log10safe; Sum_FA_over_AEG_log10safe; Sum_FA_over_DG_log10safe; Sum_FA_over_DGDG_log10safe; Sum_FA_over_GalCer_log10safe; Sum_FA_over_MG_log10safe; Sum_FA_over_MGDG_log10safe; Sum_FA_over_PA_log10safe; Sum_FA_over_PC_log10safe; Sum_FA_over_PE_log10safe; Sum_FA_over_PG_log10safe; Sum_FA_over_SM_log10safe; Sum_FA_over_SQDG_log10safe; Sum_MG_over_FA_log10safe; Sum_MGDG_over_FA_log10safe; Sum_PC_over_FA_log10safe; Sum_SM_over_FA_log10safe; Sum_SQDG_over_FA_log10safe
