Condition	GeneID	Gene_Chr	Gene_Start	Gene_End	N_Traits	N_Traits_indiv	N_Traits_sumrat	N_sig_SNPs	Best_P	Max_r2	Traits
LIN	SORBI_3004G006600	4	557329	568329	17	4	13	194	2.605726e-21	1	13-Keto-9Z,11E-octadecadienoic acid | 13S-HOTrE | FA | FA(22:1) | NAE(18:0) | Sum_AEG_over_FA_log10ratio | Sum_DGDG_over_FA_log10ratio | Sum_FA_over_DG_log10ratio | Sum_FA_over_MG_log10ratio | Sum_FA_over_PA_log10ratio | Sum_FA_over_PC_log10ratio | Sum_FA_over_PE_log10ratio | Sum_FA_over_PG_log10ratio | Sum_FA_over_TG_log10ratio | Sum_GalCer_over_FA_log10ratio | Sum_MGDG_over_FA_log10ratio | Sum_SQDG_over_FA_log10ratio
LIN	SORBI_3004G006400	4	540868	542929	16	3	13	211	2.605726e-21	1	13-Keto-9Z,11E-octadecadienoic acid | 13S-HOTrE | FA | FA(22:1) | Sum_AEG_over_FA_log10ratio | Sum_DGDG_over_FA_log10ratio | Sum_FA_over_DG_log10ratio | Sum_FA_over_MG_log10ratio | Sum_FA_over_PA_log10ratio | Sum_FA_over_PC_log10ratio | Sum_FA_over_PE_log10ratio | Sum_FA_over_PG_log10ratio | Sum_FA_over_TG_log10ratio | Sum_GalCer_over_FA_log10ratio | Sum_MGDG_over_FA_log10ratio | Sum_SQDG_over_FA_log10ratio
LIN	SORBI_3004G006700	4	569120	572297	16	3	13	195	2.605726e-21	1	13-Keto-9Z,11E-octadecadienoic acid | 13S-HOTrE | FA | FA(22:1) | Sum_AEG_over_FA_log10ratio | Sum_DGDG_over_FA_log10ratio | Sum_FA_over_DG_log10ratio | Sum_FA_over_MG_log10ratio | Sum_FA_over_PA_log10ratio | Sum_FA_over_PC_log10ratio | Sum_FA_over_PE_log10ratio | Sum_FA_over_PG_log10ratio | Sum_FA_over_TG_log10ratio | Sum_GalCer_over_FA_log10ratio | Sum_MGDG_over_FA_log10ratio | Sum_SQDG_over_FA_log10ratio
LIN	SORBI_3004G006800	4	581473	588419	16	3	13	195	2.605726e-21	1	13-Keto-9Z,11E-octadecadienoic acid | 13S-HOTrE | FA | FA(22:1) | Sum_AEG_over_FA_log10ratio | Sum_DGDG_over_FA_log10ratio | Sum_FA_over_DG_log10ratio | Sum_FA_over_MG_log10ratio | Sum_FA_over_PA_log10ratio | Sum_FA_over_PC_log10ratio | Sum_FA_over_PE_log10ratio | Sum_FA_over_PG_log10ratio | Sum_FA_over_TG_log10ratio | Sum_GalCer_over_FA_log10ratio | Sum_MGDG_over_FA_log10ratio | Sum_SQDG_over_FA_log10ratio
LIN	SORBI_3004G006900	4	588992	602915	16	3	13	217	2.605726e-21	0.977469	13-Keto-9Z,11E-octadecadienoic acid | 13S-HOTrE | FA | FA(22:1) | Sum_AEG_over_FA_log10ratio | Sum_DGDG_over_FA_log10ratio | Sum_FA_over_DG_log10ratio | Sum_FA_over_MG_log10ratio | Sum_FA_over_PA_log10ratio | Sum_FA_over_PC_log10ratio | Sum_FA_over_PE_log10ratio | Sum_FA_over_PG_log10ratio | Sum_FA_over_TG_log10ratio | Sum_GalCer_over_FA_log10ratio | Sum_MGDG_over_FA_log10ratio | Sum_SQDG_over_FA_log10ratio
LIN	SORBI_3004G006966	4	592551	597048	16	3	13	196	2.605726e-21	0.977469	13-Keto-9Z,11E-octadecadienoic acid | 13S-HOTrE | FA | FA(22:1) | Sum_AEG_over_FA_log10ratio | Sum_DGDG_over_FA_log10ratio | Sum_FA_over_DG_log10ratio | Sum_FA_over_MG_log10ratio | Sum_FA_over_PA_log10ratio | Sum_FA_over_PC_log10ratio | Sum_FA_over_PE_log10ratio | Sum_FA_over_PG_log10ratio | Sum_FA_over_TG_log10ratio | Sum_GalCer_over_FA_log10ratio | Sum_MGDG_over_FA_log10ratio | Sum_SQDG_over_FA_log10ratio
LIN	SORBI_3004G007032	4	616824	618511	16	3	13	196	2.605726e-21	0.954864	13-Keto-9Z,11E-octadecadienoic acid | 13S-HOTrE | FA | FA(22:1) | Sum_AEG_over_FA_log10ratio | Sum_DGDG_over_FA_log10ratio | Sum_FA_over_DG_log10ratio | Sum_FA_over_MG_log10ratio | Sum_FA_over_PA_log10ratio | Sum_FA_over_PC_log10ratio | Sum_FA_over_PE_log10ratio | Sum_FA_over_PG_log10ratio | Sum_FA_over_TG_log10ratio | Sum_GalCer_over_FA_log10ratio | Sum_MGDG_over_FA_log10ratio | Sum_SQDG_over_FA_log10ratio
LIN	SORBI_3004G007100	4	618536	624413	16	3	13	199	2.605726e-21	0.943741	13-Keto-9Z,11E-octadecadienoic acid | 13S-HOTrE | FA | FA(22:1) | Sum_AEG_over_FA_log10ratio | Sum_DGDG_over_FA_log10ratio | Sum_FA_over_DG_log10ratio | Sum_FA_over_MG_log10ratio | Sum_FA_over_PA_log10ratio | Sum_FA_over_PC_log10ratio | Sum_FA_over_PE_log10ratio | Sum_FA_over_PG_log10ratio | Sum_FA_over_TG_log10ratio | Sum_GalCer_over_FA_log10ratio | Sum_MGDG_over_FA_log10ratio | Sum_SQDG_over_FA_log10ratio
LIN	SORBI_3004G007133	4	625847	638342	16	3	13	199	2.605726e-21	0.97689	13-Keto-9Z,11E-octadecadienoic acid | 13S-HOTrE | FA | FA(22:1) | Sum_AEG_over_FA_log10ratio | Sum_DGDG_over_FA_log10ratio | Sum_FA_over_DG_log10ratio | Sum_FA_over_MG_log10ratio | Sum_FA_over_PA_log10ratio | Sum_FA_over_PC_log10ratio | Sum_FA_over_PE_log10ratio | Sum_FA_over_PG_log10ratio | Sum_FA_over_TG_log10ratio | Sum_GalCer_over_FA_log10ratio | Sum_MGDG_over_FA_log10ratio | Sum_SQDG_over_FA_log10ratio
LIN	SORBI_3004G007200	4	637861	642805	16	3	13	196	2.605726e-21	0.988357	13-Keto-9Z,11E-octadecadienoic acid | 13S-HOTrE | FA | FA(22:1) | Sum_AEG_over_FA_log10ratio | Sum_DGDG_over_FA_log10ratio | Sum_FA_over_DG_log10ratio | Sum_FA_over_MG_log10ratio | Sum_FA_over_PA_log10ratio | Sum_FA_over_PC_log10ratio | Sum_FA_over_PE_log10ratio | Sum_FA_over_PG_log10ratio | Sum_FA_over_TG_log10ratio | Sum_GalCer_over_FA_log10ratio | Sum_MGDG_over_FA_log10ratio | Sum_SQDG_over_FA_log10ratio
LIN	SORBI_3004G007300	4	646027	651065	16	3	13	196	2.605726e-21	0.943817	13-Keto-9Z,11E-octadecadienoic acid | 13S-HOTrE | FA | FA(22:1) | Sum_AEG_over_FA_log10ratio | Sum_DGDG_over_FA_log10ratio | Sum_FA_over_DG_log10ratio | Sum_FA_over_MG_log10ratio | Sum_FA_over_PA_log10ratio | Sum_FA_over_PC_log10ratio | Sum_FA_over_PE_log10ratio | Sum_FA_over_PG_log10ratio | Sum_FA_over_TG_log10ratio | Sum_GalCer_over_FA_log10ratio | Sum_MGDG_over_FA_log10ratio | Sum_SQDG_over_FA_log10ratio
LIN	SORBI_3004G007400	4	659396	662379	16	3	13	196	2.605726e-21	0.954496	13-Keto-9Z,11E-octadecadienoic acid | 13S-HOTrE | FA | FA(22:1) | Sum_AEG_over_FA_log10ratio | Sum_DGDG_over_FA_log10ratio | Sum_FA_over_DG_log10ratio | Sum_FA_over_MG_log10ratio | Sum_FA_over_PA_log10ratio | Sum_FA_over_PC_log10ratio | Sum_FA_over_PE_log10ratio | Sum_FA_over_PG_log10ratio | Sum_FA_over_TG_log10ratio | Sum_GalCer_over_FA_log10ratio | Sum_MGDG_over_FA_log10ratio | Sum_SQDG_over_FA_log10ratio
