trait,condition,layer,SNP,chr,ps,p_wald,gene,r2
Sum_AEG_over_PS_log10safe,LIN,sumratio,5:19671652,5,19671652,4.407524e-09,SORBI_3005G105700,0.808841
Sum_AEG_over_PS_log10safe,LIN,sumratio,5:19671652,5,19671652,4.407524e-09,SORBI_3005G105850,0.801258
Sum_AEG_over_PS_log10safe,LIN,sumratio,5:19671652,5,19671652,4.407524e-09,SORBI_3005G105850,0.793613
Sum_AEG_over_PS_log10safe,LIN,sumratio,5:19671652,5,19671652,4.407524e-09,SORBI_3005G106200,0.792216
Sum_AEG_over_PS_log10safe,LIN,sumratio,5:19671652,5,19671652,4.407524e-09,SORBI_3005G106200,0.791374
Sum_AEG_over_PS_log10safe,LIN,sumratio,5:19671652,5,19671652,4.407524e-09,SORBI_3005G106200,0.787818
Sum_AEG_over_PS_log10safe,LIN,sumratio,5:19671652,5,19671652,4.407524e-09,SORBI_3005G106200,0.787255
Sum_AEG_over_PS_log10safe,LIN,sumratio,5:19671652,5,19671652,4.407524e-09,SORBI_3005G106200,0.786108
Sum_AEG_over_PS_log10safe,LIN,sumratio,5:19671652,5,19671652,4.407524e-09,SORBI_3005G106200,0.786107
Sum_AEG_over_PS_log10safe,LIN,sumratio,5:19671652,5,19671652,4.407524e-09,SORBI_3005G105850,0.78285
Sum_AEG_over_PS_log10safe,LIN,sumratio,5:19671652,5,19671652,4.407524e-09,SORBI_3005G106200,0.782754
Sum_AEG_over_PS_log10safe,LIN,sumratio,5:19671652,5,19671652,4.407524e-09,SORBI_3005G106200,0.77643
Sum_AEG_over_PS_log10safe,LIN,sumratio,5:19671652,5,19671652,4.407524e-09,SORBI_3005G106200,0.773824
Sum_AEG_over_PS_log10safe,LIN,sumratio,5:19671652,5,19671652,4.407524e-09,SORBI_3005G105500,0.727461
Sum_AEG_over_PS_log10safe,LIN,sumratio,5:19671652,5,19671652,4.407524e-09,SORBI_3005G105500,0.72543
Sum_AEG_over_PS_log10safe,LIN,sumratio,5:19671652,5,19671652,4.407524e-09,SORBI_3005G105550,0.723178
Sum_AEG_over_PS_log10safe,LIN,sumratio,5:19671652,5,19671652,4.407524e-09,SORBI_3005G105500,0.721564
Sum_AEG_over_PS_log10safe,LIN,sumratio,5:19671652,5,19671652,4.407524e-09,SORBI_3005G106200,0.720279
Sum_AEG_over_PS_log10safe,LIN,sumratio,5:19671652,5,19671652,4.407524e-09,SORBI_3005G105500,0.719432
Sum_AEG_over_PS_log10safe,LIN,sumratio,5:19671652,5,19671652,4.407524e-09,SORBI_3005G105500,0.713815
Sum_AEG_over_PS_log10safe,LIN,sumratio,5:19671652,5,19671652,4.407524e-09,SORBI_3005G105500,0.705785
Sum_AEG_over_PS_log10safe,LIN,sumratio,5:19671652,5,19671652,4.407524e-09,SORBI_3005G105700,0.698454
Sum_AEG_over_PS_log10safe,LIN,sumratio,5:19671652,5,19671652,4.407524e-09,SORBI_3005G105500,0.686255
Sum_AEG_over_PS_log10safe,LIN,sumratio,5:19671652,5,19671652,4.407524e-09,SORBI_3005G105550,0.674693
Sum_AEG_over_PS_log10safe,LIN,sumratio,5:19671652,5,19671652,4.407524e-09,SORBI_3005G105550,0.657172
Sum_AEG_over_PS_log10safe,LIN,sumratio,5:19671652,5,19671652,4.407524e-09,SORBI_3005G106200,0.637784
Sum_AEG_over_PS_log10safe,LIN,sumratio,5:19671652,5,19671652,4.407524e-09,SORBI_3005G106000,0.636731
Sum_AEG_over_PS_log10safe,LIN,sumratio,5:19671652,5,19671652,4.407524e-09,SORBI_3005G105550,0.607244
Sum_AEG_over_PS_log10safe,LIN,sumratio,5:19671652,5,19671652,4.407524e-09,SORBI_3005G105500,0.606958
Sum_AEG_over_PS_log10safe,LIN,sumratio,5:19671652,5,19671652,4.407524e-09,SORBI_3005G105550,0.602391
