trait,condition,layer,SNP,chr,ps,p_wald,gene,r2
alpha-Tocopherol,CTL,individual,1:73454648,1,73454648,2.875279e-11,SORBI_3001G460300,0.428571
alpha-Tocopherol,CTL,individual,1:73454653,1,73454653,2.875279e-11,SORBI_3001G460300,0.428571
alpha-Tocopherol,CTL,individual,5:63401112,5,63401112,1.000672e-09,SORBI_3005G160100,1
alpha-Tocopherol,CTL,individual,5:63401112,5,63401112,1.000672e-09,SORBI_3005G160100,1
alpha-Tocopherol,CTL,individual,5:63401134,5,63401134,1.000672e-09,SORBI_3005G160100,1
alpha-Tocopherol,CTL,individual,5:63401134,5,63401134,1.000672e-09,SORBI_3005G160100,1
alpha-Tocopherol,CTL,individual,5:63401146,5,63401146,1.000672e-09,SORBI_3005G160100,1
alpha-Tocopherol,CTL,individual,5:63401146,5,63401146,1.000672e-09,SORBI_3005G160100,1
alpha-Tocopherol,CTL,individual,5:63401158,5,63401158,1.000672e-09,SORBI_3005G160100,1
alpha-Tocopherol,CTL,individual,5:63401158,5,63401158,1.000672e-09,SORBI_3005G160100,1
alpha-Tocopherol,CTL,individual,5:63401169,5,63401169,1.000672e-09,SORBI_3005G160100,1
alpha-Tocopherol,CTL,individual,5:63401169,5,63401169,1.000672e-09,SORBI_3005G160100,1
alpha-Tocopherol,CTL,individual,5:63401171,5,63401171,1.000672e-09,SORBI_3005G160100,1
alpha-Tocopherol,CTL,individual,5:63401171,5,63401171,1.000672e-09,SORBI_3005G160100,1
alpha-Tocopherol,CTL,individual,5:63401172,5,63401172,1.000672e-09,SORBI_3005G160100,1
alpha-Tocopherol,CTL,individual,5:63401172,5,63401172,1.000672e-09,SORBI_3005G160100,1
alpha-Tocopherol,CTL,individual,5:63401189,5,63401189,1.000672e-09,SORBI_3005G160100,1
alpha-Tocopherol,CTL,individual,5:63401189,5,63401189,1.000672e-09,SORBI_3005G160100,1
