GeneID	GeneName	Family_SubFamily	Protein_class	GO_MF	GO_BP	GO_CC	Chromosome	Gene_Start	Gene_End	Best_SNP	Best_SNP_Position	Best_P_Value	N_Phenotypes	Phenotypes	All_SNPs	N_SNPs	P_Values
SORBI_3006G248000	Uncharacterized protein	OS04G0657100 PROTEIN (PTHR11525:SF14)	acyltransferase(PC00042)	dimethylallyltranstransferase activity(GO:0004161);(2E,6E)-farnesyl diphosphate synthase activity(GO:0004337);prenyltransferase activity(GO:0004659);transferase activity(GO:0016740);transferase activity, transferring alkyl or aryl (other than methyl) groups(GO:0016765);metal ion binding(GO:0046872)	isoprenoid biosynthetic process(GO:0008299);farnesyl diphosphate biosynthetic process(GO:0045337)	cytoplasm(GO:0005737)	6	58752278	58756227	SNP_58780498	58780498	6.02e-13	18	TG(10:0_10:0_10:0); TG(10:0_16:1_18:1); TG(12:0_12:0_16:1); TG(12:0_12:0_18:1); TG(12:0_12:0_18:2); TG(12:0_14:0_18:3); TG(12:0_16:0_18:2); TG(12:0_18:1_18:1); TG(12:0_18:1_18:2); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:1); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2); TG(8:0_16:1_18:1)	SNP_58780498; SNP_58775803; SNP_58776720	3	1.4e-10; 8.7e-13; 6.0e-13; 2.0e-09; 3.4e-12; 9.0e-11; 9.5e-09; 3.3e-09; 3.1e-08; 4.9e-08; 7.8e-08; 4.4e-08; 1.8e-08; 6.9e-08; 7.6e-08; 3.4e-08; 8.3e-08; 3.4e-12
SORBI_3006G248100	Fungal lipase-like domain-containing protein	OS04G0657500 PROTEIN (PTHR46086:SF18)	hydrolase(PC00121)	triacylglycerol lipase activity(GO:0004806)	lipid metabolic process(GO:0006629)		6	58758117	58760732	SNP_58780498	58780498	6.02e-13	18	TG(10:0_10:0_10:0); TG(10:0_16:1_18:1); TG(12:0_12:0_16:1); TG(12:0_12:0_18:1); TG(12:0_12:0_18:2); TG(12:0_14:0_18:3); TG(12:0_16:0_18:2); TG(12:0_18:1_18:1); TG(12:0_18:1_18:2); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:1); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2); TG(8:0_16:1_18:1)	SNP_58780498; SNP_58775803; SNP_58776720	3	1.4e-10; 8.7e-13; 6.0e-13; 2.0e-09; 3.4e-12; 9.0e-11; 9.5e-09; 3.3e-09; 3.1e-08; 4.9e-08; 7.8e-08; 4.4e-08; 1.8e-08; 6.9e-08; 7.6e-08; 3.4e-08; 8.3e-08; 3.4e-12
SORBI_3006G248200	Uncharacterized protein	OS04G0657900 PROTEIN (PTHR37225:SF1)					6	58761944	58762485	SNP_58780498	58780498	6.02e-13	18	TG(10:0_10:0_10:0); TG(10:0_16:1_18:1); TG(12:0_12:0_16:1); TG(12:0_12:0_18:1); TG(12:0_12:0_18:2); TG(12:0_14:0_18:3); TG(12:0_16:0_18:2); TG(12:0_18:1_18:1); TG(12:0_18:1_18:2); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:1); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2); TG(8:0_16:1_18:1)	SNP_58780498; SNP_58775803; SNP_58776720	3	1.4e-10; 8.7e-13; 6.0e-13; 2.0e-09; 3.4e-12; 9.0e-11; 9.5e-09; 3.3e-09; 3.1e-08; 4.9e-08; 7.8e-08; 4.4e-08; 1.8e-08; 6.9e-08; 7.6e-08; 3.4e-08; 8.3e-08; 3.4e-12
SORBI_3006G248300	Lipoxygenase	LIPOXYGENASE (PTHR11771:SF200)	oxygenase(PC00177)	oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen(GO:0016702);metal ion binding(GO:0046872);dioxygenase activity(GO:0051213)	lipid metabolic process(GO:0006629);fatty acid metabolic process(GO:0006631);fatty acid biosynthetic process(GO:0006633);oxylipin biosynthetic process(GO:0031408);lipid oxidation(GO:0034440)		6	58764200	58767760	SNP_58780498	58780498	6.02e-13	18	TG(10:0_10:0_10:0); TG(10:0_16:1_18:1); TG(12:0_12:0_16:1); TG(12:0_12:0_18:1); TG(12:0_12:0_18:2); TG(12:0_14:0_18:3); TG(12:0_16:0_18:2); TG(12:0_18:1_18:1); TG(12:0_18:1_18:2); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:1); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2); TG(8:0_16:1_18:1)	SNP_58780498; SNP_58775803; SNP_58776720	3	1.4e-10; 8.7e-13; 6.0e-13; 2.0e-09; 3.4e-12; 9.0e-11; 9.5e-09; 3.3e-09; 3.1e-08; 4.9e-08; 7.8e-08; 4.4e-08; 1.8e-08; 6.9e-08; 7.6e-08; 3.4e-08; 8.3e-08; 3.4e-12
SORBI_3006G248350	Uncharacterized protein						6	58769277	58774798	SNP_58780498	58780498	6.02e-13	18	TG(10:0_10:0_10:0); TG(10:0_16:1_18:1); TG(12:0_12:0_16:1); TG(12:0_12:0_18:1); TG(12:0_12:0_18:2); TG(12:0_14:0_18:3); TG(12:0_16:0_18:2); TG(12:0_18:1_18:1); TG(12:0_18:1_18:2); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:1); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2); TG(8:0_16:1_18:1)	SNP_58780498; SNP_58775803; SNP_58776720	3	1.4e-10; 8.7e-13; 6.0e-13; 2.0e-09; 3.4e-12; 9.0e-11; 9.5e-09; 3.3e-09; 3.1e-08; 4.9e-08; 7.8e-08; 4.4e-08; 1.8e-08; 6.9e-08; 7.6e-08; 3.4e-08; 8.3e-08; 3.4e-12
SORBI_3006G248400	glucose-6-phosphate 1-epimerase	GLUCOSE-6-PHOSPHATE 1-EPIMERASE (PTHR11122:SF13)		catalytic activity(GO:0003824);isomerase activity(GO:0016853);carbohydrate binding(GO:0030246);glucose-6-phosphate 1-epimerase activity(GO:0047938)	carbohydrate metabolic process(GO:0005975)	cytoplasm(GO:0005737)	6	58780954	58786603	SNP_58780498	58780498	6.02e-13	18	TG(10:0_10:0_10:0); TG(10:0_16:1_18:1); TG(12:0_12:0_16:1); TG(12:0_12:0_18:1); TG(12:0_12:0_18:2); TG(12:0_14:0_18:3); TG(12:0_16:0_18:2); TG(12:0_18:1_18:1); TG(12:0_18:1_18:2); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:1); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2); TG(8:0_16:1_18:1)	SNP_58780498; SNP_58775803; SNP_58776720	3	1.4e-10; 8.7e-13; 6.0e-13; 2.0e-09; 3.4e-12; 9.0e-11; 9.5e-09; 3.3e-09; 3.1e-08; 4.9e-08; 7.8e-08; 4.4e-08; 1.8e-08; 6.9e-08; 7.6e-08; 3.4e-08; 8.3e-08; 3.4e-12
SORBI_3006G248450	Uncharacterized protein						6	58788331	58789520	SNP_58780498	58780498	6.02e-13	18	TG(10:0_10:0_10:0); TG(10:0_16:1_18:1); TG(12:0_12:0_16:1); TG(12:0_12:0_18:1); TG(12:0_12:0_18:2); TG(12:0_14:0_18:3); TG(12:0_16:0_18:2); TG(12:0_18:1_18:1); TG(12:0_18:1_18:2); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:1); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2); TG(8:0_16:1_18:1)	SNP_58780498; SNP_58775803; SNP_58776720	3	1.4e-10; 8.7e-13; 6.0e-13; 2.0e-09; 3.4e-12; 9.0e-11; 9.5e-09; 3.3e-09; 3.1e-08; 4.9e-08; 7.8e-08; 4.4e-08; 1.8e-08; 6.9e-08; 7.6e-08; 3.4e-08; 8.3e-08; 3.4e-12
SORBI_3006G248500	Transcriptional coactivator Hfi1_Transcriptional adapter 1	TRANSCRIPTIONAL ADAPTER 1 (PTHR21277:SF5)		transcription coactivator activity(GO:0003713)	regulation of transcription by RNA polymerase II(GO:0006357);positive regulation of DNA-templated transcription(GO:0045893)	SAGA complex(GO:0000124);nucleus(GO:0005634);SAGA-type complex(GO:0070461)	6	58788728	58791079	SNP_58780498	58780498	6.02e-13	18	TG(10:0_10:0_10:0); TG(10:0_16:1_18:1); TG(12:0_12:0_16:1); TG(12:0_12:0_18:1); TG(12:0_12:0_18:2); TG(12:0_14:0_18:3); TG(12:0_16:0_18:2); TG(12:0_18:1_18:1); TG(12:0_18:1_18:2); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:1); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2); TG(8:0_16:1_18:1)	SNP_58780498; SNP_58775803; SNP_58776720	3	1.4e-10; 8.7e-13; 6.0e-13; 2.0e-09; 3.4e-12; 9.0e-11; 9.5e-09; 3.3e-09; 3.1e-08; 4.9e-08; 7.8e-08; 4.4e-08; 1.8e-08; 6.9e-08; 7.6e-08; 3.4e-08; 8.3e-08; 3.4e-12
SORBI_3006G248600	Uncharacterized protein	OS04G0658200 PROTEIN (PTHR33181:SF19)					6	58793125	58800314	SNP_58780498	58780498	6.02e-13	18	TG(10:0_10:0_10:0); TG(10:0_16:1_18:1); TG(12:0_12:0_16:1); TG(12:0_12:0_18:1); TG(12:0_12:0_18:2); TG(12:0_14:0_18:3); TG(12:0_16:0_18:2); TG(12:0_18:1_18:1); TG(12:0_18:1_18:2); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:1); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2); TG(8:0_16:1_18:1)	SNP_58780498; SNP_58775803; SNP_58776720	3	1.4e-10; 8.7e-13; 6.0e-13; 2.0e-09; 3.4e-12; 9.0e-11; 9.5e-09; 3.3e-09; 3.1e-08; 4.9e-08; 7.8e-08; 4.4e-08; 1.8e-08; 6.9e-08; 7.6e-08; 3.4e-08; 8.3e-08; 3.4e-12
SORBI_3006G248700	Ribulose bisphosphate carboxylase_oxygenase activase, chloroplastic	RIBULOSE BISPHOSPHATE CARBOXYLASE_OXYGENASE ACTIVASE, CHLOROPLASTIC (PTHR32429:SF11)		nucleotide binding(GO:0000166);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);ribulose-1,5-bisphosphate carboxylase/oxygenase activator activity(GO:0046863)		chloroplast stroma(GO:0009570)	6	58801617	58807226	SNP_58780498	58780498	6.02e-13	18	TG(10:0_10:0_10:0); TG(10:0_16:1_18:1); TG(12:0_12:0_16:1); TG(12:0_12:0_18:1); TG(12:0_12:0_18:2); TG(12:0_14:0_18:3); TG(12:0_16:0_18:2); TG(12:0_18:1_18:1); TG(12:0_18:1_18:2); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:1); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2); TG(8:0_16:1_18:1)	SNP_58780498; SNP_58776720	2	1.4e-10; 8.7e-13; 6.0e-13; 2.0e-09; 3.4e-12; 9.0e-11; 9.5e-09; 3.3e-09; 3.1e-08; 4.9e-08; 7.8e-08; 4.4e-08; 1.8e-08; 6.9e-08; 7.6e-08; 3.4e-08; 8.3e-08; 3.4e-12
