trait,condition,layer,SNP,chr,ps,p_wald,gene,r2
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262531,1,12262531,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262531,1,12262531,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262539,1,12262539,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262539,1,12262539,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262584,1,12262584,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262584,1,12262584,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262601,1,12262601,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262601,1,12262601,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262621,1,12262621,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262621,1,12262621,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262681,1,12262681,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262681,1,12262681,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262688,1,12262688,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262688,1,12262688,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262696,1,12262696,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262696,1,12262696,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262730,1,12262730,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262730,1,12262730,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262738,1,12262738,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262738,1,12262738,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262761,1,12262761,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262761,1,12262761,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262786,1,12262786,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262786,1,12262786,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262791,1,12262791,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262791,1,12262791,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262832,1,12262832,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262832,1,12262832,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262850,1,12262850,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262850,1,12262850,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262869,1,12262869,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262869,1,12262869,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262877,1,12262877,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262877,1,12262877,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262996,1,12262996,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262996,1,12262996,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262997,1,12262997,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12262997,1,12262997,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12263000,1,12263000,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12263000,1,12263000,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12263028,1,12263028,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12263028,1,12263028,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12263046,1,12263046,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12263046,1,12263046,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12263073,1,12263073,1.010086e-09,SORBI_3001G152700,1
Sum_PE_over_Cer_log10safe,CTL,sumratio,1:12263073,1,12263073,1.010086e-09,SORBI_3001G152700,1
