Analysis	source	term_id	term_name	FDR	Fold_Enrichment	query	significant	p_value	term_size	query_size	intersection_size	precision	recall	effective_domain_size	source_order	parents	evidence_codes	intersection
CTL_combined__10pct__recurrent	GO:MF	GO:0004838	L-tyrosine-2-oxoglutarate transaminase activity	0.0018867360025614519	73.6747572815534	query_1	TRUE	0.0018867360025614519	8	103	3	0.02912621359223301	0.375	20236	1075		IBA,IBA,IBA	SORBI_3002G041100,SORBI_3002G041200,SORBI_3005G152200
CTL_combined__10pct__recurrent	GO:MF	GO:0008793	aromatic-amino-acid transaminase activity	0.0020065611326794755	58.93980582524273	query_1	TRUE	0.0020065611326794755	10	103	3	0.02912621359223301	0.3	20236	1876		IBA,IBA,IBA	SORBI_3002G041100,SORBI_3002G041200,SORBI_3005G152200
CTL_combined__10pct__recurrent	GO:BP	GO:0006572	L-tyrosine catabolic process	0.016789823131032153	47.76127320954907	query_1	TRUE	0.016789823131032153	13	87	3	0.034482758620689655	0.23076923076923078	18006	2175		IBA,IBA,IBA	SORBI_3002G041100,SORBI_3002G041200,SORBI_3005G152200
CTL_combined__10pct__recurrent	GO:BP	GO:0006570	tyrosine metabolic process	0.027852300298503243	32.67876588021778	query_1	TRUE	0.027852300298503243	19	87	3	0.034482758620689655	0.15789473684210525	18006	2173		IBA,IBA,IBA	SORBI_3002G041100,SORBI_3002G041200,SORBI_3005G152200
CTL_combined__20pct__recurrent	GO:BP	GO:0002181	cytoplasmic translation	0.0010432304480228612	5.532080495673101	query_1	TRUE	0.0010432304480228612	331	118	12	0.1016949152542373	0.03625377643504532	18006	709		IBA IEA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA,IBA IEA,IBA	SORBI_3002G044000,SORBI_3004G137601,SORBI_3005G110463,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3008G095500,SORBI_3008G131800,SORBI_3010G136450
CTL_combined__20pct__recurrent	GO:BP	GO:0160307	protein biosynthetic process	0.0010432304480228612	3.2612724256925505	query_1	TRUE	0.0010432304480228612	889	118	19	0.16101694915254236	0.021372328458942633	18006	19039		IEA,IBA,IBA IEA,IBA IEA,IEA,IBA IEA,IBA,IBA,IBA,IBA,IBA IEA,IBA,IBA,IBA,IEA,IBA IEA,IBA IEA,IBA,IBA IEA	SORBI_3001G225700,SORBI_3001G259000,SORBI_3002G042500,SORBI_3002G044000,SORBI_3002G148166,SORBI_3002G373800,SORBI_3004G137601,SORBI_3005G110463,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3007G071300,SORBI_3008G095500,SORBI_3008G131800,SORBI_3010G136450,SORBI_3010G150575
CTL_combined__20pct__recurrent	GO:BP	GO:0006412	translation	0.0010432304480228612	3.2612724256925505	query_1	TRUE	0.0010432304480228612	889	118	19	0.16101694915254236	0.021372328458942633	18006	2062		IEA,IBA,IBA IEA,IBA IEA,IEA,IBA IEA,IBA,IBA,IBA,IBA,IBA IEA,IBA,IBA,IBA,IEA,IBA IEA,IBA IEA,IBA,IBA IEA	SORBI_3001G225700,SORBI_3001G259000,SORBI_3002G042500,SORBI_3002G044000,SORBI_3002G148166,SORBI_3002G373800,SORBI_3004G137601,SORBI_3005G110463,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3007G071300,SORBI_3008G095500,SORBI_3008G131800,SORBI_3010G136450,SORBI_3010G150575
CTL_combined__20pct__recurrent	GO:BP	GO:0010628	positive regulation of gene expression	0.0010877194726376228	5.984047856430708	query_1	TRUE	0.0010877194726376228	255	118	10	0.0847457627118644	0.0392156862745098	18006	4087		IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA	SORBI_3002G371500,SORBI_3004G137601,SORBI_3005G110463,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3010G136450
CTL_combined__20pct__recurrent	GO:BP	GO:0045727	positive regulation of translation	0.00268737551128258	5.945190402817522	query_1	TRUE	0.00268737551128258	231	118	9	0.07627118644067797	0.03896103896103896	18006	10800		IBA,IBA,IBA,IBA,IEA,IBA,IBA,IBA,IBA	SORBI_3004G137601,SORBI_3005G110463,SORBI_3006G042425,SORBI_3006G044532,SORBI_3006G044600,SORBI_3006G048925,SORBI_3006G049450,SORBI_3006G049666,SORBI_3010G136450
CTL_combined__20pct__recurrent	GO:MF	GO:0004838	L-tyrosine-2-oxoglutarate transaminase activity	0.005024672657213875	55.39051094890511	query_1	TRUE	0.005024672657213875	8	137	3	0.021897810218978103	0.375	20236	1075		IBA,IBA,IBA	SORBI_3002G041100,SORBI_3002G041200,SORBI_3005G152200
