trait,condition,layer,SNP,chr,ps,p_wald,gene,r2
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G101900,0.9139
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G101700,0.86839
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G101700,0.860507
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G101700,0.852718
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G101700,0.848432
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G101700,0.837849
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G103900,0.795471
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G104000,0.795471
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G104300,0.795471
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G104400,0.795471
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G102300,0.788371
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G103300,0.788371
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G104300,0.788371
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G104400,0.788371
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G102200,0.78782
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G102300,0.78782
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G103300,0.78782
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G103900,0.781408
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G102200,0.780586
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G102300,0.780586
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G102000,0.780304
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G102300,0.767164
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G102150,0.759485
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G102300,0.759485
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G102300,0.758593
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G102200,0.75181
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G102300,0.751627
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G102300,0.744646
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G101650,0.722501
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G102300,0.694775
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G102300,0.669827
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G104800,0.662226
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G104700,0.653395
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G102000,0.646237
Sum_GalCer_over_PE_log10safe,LIN,sumratio,1:7990363,1,7990363,1.30691e-11,SORBI_3001G104800,0.644609
