trait,condition,layer,SNP,chr,ps,p_wald,gene,r2
SM,LIN,sumratio,6:7505330,6,7505330,9.085925e-12,SORBI_3006G033001,1
SM,LIN,sumratio,6:7505330,6,7505330,9.085925e-12,SORBI_3006G033001,1
SM,LIN,sumratio,9:1570121,9,1570121,1.420497e-09,SORBI_3009G016700,0.976222
SM,LIN,sumratio,9:1570121,9,1570121,1.420497e-09,SORBI_3009G016633,0.887935
SM,LIN,sumratio,9:1570121,9,1570121,1.420497e-09,SORBI_3009G016400,0.408509
SM,LIN,sumratio,9:1570121,9,1570121,1.420497e-09,SORBI_3009G016400,0.405713
SM,LIN,sumratio,9:1575657,9,1575657,2.964665e-09,SORBI_3009G016700,0.975809
SM,LIN,sumratio,9:1575657,9,1575657,2.964665e-09,SORBI_3009G016633,0.889057
SM,LIN,sumratio,9:1575657,9,1575657,2.964665e-09,SORBI_3009G016400,0.409749
SM,LIN,sumratio,9:1575657,9,1575657,2.964665e-09,SORBI_3009G016400,0.406963
SM,LIN,sumratio,1:19585148,1,19585148,3.938255e-09,SORBI_3001G212451,0.653857
SM,LIN,sumratio,1:19585148,1,19585148,3.938255e-09,SORBI_3001G212500,0.646853
SM,LIN,sumratio,1:19585148,1,19585148,3.938255e-09,SORBI_3001G212600,0.646853
SM,LIN,sumratio,1:19585148,1,19585148,3.938255e-09,SORBI_3001G212500,0.629255
SM,LIN,sumratio,1:19585148,1,19585148,3.938255e-09,SORBI_3001G212500,0.622474
SM,LIN,sumratio,1:19585148,1,19585148,3.938255e-09,SORBI_3001G212600,0.622474
SM,LIN,sumratio,1:19585148,1,19585148,3.938255e-09,SORBI_3001G212500,0.581256
SM,LIN,sumratio,1:19585148,1,19585148,3.938255e-09,SORBI_3001G212600,0.581256
SM,LIN,sumratio,1:19585148,1,19585148,3.938255e-09,SORBI_3001G212500,0.564369
SM,LIN,sumratio,1:19585148,1,19585148,3.938255e-09,SORBI_3001G212500,0.561397
SM,LIN,sumratio,1:19585148,1,19585148,3.938255e-09,SORBI_3001G212600,0.561397
SM,LIN,sumratio,1:19585148,1,19585148,3.938255e-09,SORBI_3001G212500,0.557861
SM,LIN,sumratio,1:19585148,1,19585148,3.938255e-09,SORBI_3001G212500,0.540437
SM,LIN,sumratio,1:19585148,1,19585148,3.938255e-09,SORBI_3001G212500,0.537142
SM,LIN,sumratio,1:19585148,1,19585148,3.938255e-09,SORBI_3001G212600,0.537142
SM,LIN,sumratio,1:19585148,1,19585148,3.938255e-09,SORBI_3001G212500,0.533682
SM,LIN,sumratio,1:19585148,1,19585148,3.938255e-09,SORBI_3001G212500,0.533535
SM,LIN,sumratio,1:19585148,1,19585148,3.938255e-09,SORBI_3001G212500,0.522235
SM,LIN,sumratio,1:19585148,1,19585148,3.938255e-09,SORBI_3001G212500,0.516616
SM,LIN,sumratio,1:19585148,1,19585148,3.938255e-09,SORBI_3001G212451,0.404454
SM,LIN,sumratio,1:19837093,1,19837093,7.10731e-09,SORBI_3001G216701,0.557604
SM,LIN,sumratio,1:19837094,1,19837094,7.10731e-09,SORBI_3001G216701,0.557604
