GeneID	GeneName	Family_SubFamily	Protein_class	GO_MF	GO_BP	GO_CC	Chromosome	Gene_Start	Gene_End	Best_P_Value	N_sig_SNPs	Max_r2	N_Phenotypes	Phenotypes
SORBI_3006G010000	FCP1 homology domain-containing protein	CTD SMALL PHOSPHATASE-LIKE PROTEIN 3 (PTHR12210:SF13)	protein phosphatase(PC00195)	phosphoprotein phosphatase activity(GO:0004721);phosphatase activity(GO:0016791)	positive regulation of gluconeogenesis(GO:0045722)	nucleus(GO:0005634)	6	1453702	1460668	2.017612e-10	51	0.668149	3	Sum_Cer_over_PS_log10ratio; Sum_GalCer_over_PS_log10ratio; Sum_TG_over_PS_log10ratio
SORBI_3006G010100	Terpene synthase	EUDESMANEDIOL SYNTHASE (PTHR31225:SF109)		magnesium ion binding(GO:0000287);terpene synthase activity(GO:0010333);lyase activity(GO:0016829)	isoprenoid biosynthetic process(GO:0008299);response to fungus(GO:0009620);diterpenoid biosynthetic process(GO:0016102);terpenoid biosynthetic process(GO:0016114)	cytoplasm(GO:0005737)	6	1473844	1478555	2.017612e-10	51	0.819145	3	Sum_Cer_over_PS_log10ratio; Sum_GalCer_over_PS_log10ratio; Sum_TG_over_PS_log10ratio
SORBI_3006G010400	tRNA-dihydrouridine(47) synthase [NAD(P)(+)]	TRNA-DIHYDROURIDINE(47) SYNTHASE [NAD(P)(+)]-LIKE (PTHR45846:SF1)	RNA processing factor(PC00147)	tRNA dihydrouridine synthase activity(GO:0017150);metal ion binding(GO:0046872);flavin adenine dinucleotide binding(GO:0050660);tRNA-dihydrouridine47 synthase activity(GO:0102265);mRNA dihydrouridine synthase activity(GO:0106414)	tRNA dihydrouridine synthesis(GO:0002943);tRNA processing(GO:0008033)		6	1537692	1544550	2.017612e-10	51	1	3	Sum_Cer_over_PS_log10ratio; Sum_GalCer_over_PS_log10ratio; Sum_TG_over_PS_log10ratio
SORBI_3006G010500	C2 domain-containing protein	PROTEIN SRC2-LIKE PROTEIN (PTHR32246:SF170)			defense response(GO:0006952)		6	1547958	1549604	2.017612e-10	51	1	3	Sum_Cer_over_PS_log10ratio; Sum_GalCer_over_PS_log10ratio; Sum_TG_over_PS_log10ratio
SORBI_3006G010600	Peptidyl-prolyl cis-trans isomerase	PEPTIDYL-PROLYL CIS-TRANS ISOMERASE-RELATED (PTHR10657:SF4)	chaperone(PC00072)	peptidyl-prolyl cis-trans isomerase activity(GO:0003755);isomerase activity(GO:0016853)		nucleus(GO:0005634);cytosol(GO:0005829)	6	1550169	1553065	2.017612e-10	51	0.651908	3	Sum_Cer_over_PS_log10ratio; Sum_GalCer_over_PS_log10ratio; Sum_TG_over_PS_log10ratio
SORBI_3006G010800	EF-hand domain-containing protein	OS05G0147300 PROTEIN (PTHR10891:SF746)	calmodulin-related(PC00061)	calcium ion binding(GO:0005509)			6	1567127	1570624	2.017612e-10	51	0.691179	3	Sum_Cer_over_PS_log10ratio; Sum_GalCer_over_PS_log10ratio; Sum_TG_over_PS_log10ratio
SORBI_3004G197700	DUF4283 domain-containing protein	PTB DOMAIN ENGULFMENT ADAPTER (PTHR36342:SF1)	membrane trafficking regulatory protein(PC00151)				4	54876205	54878941	8.869754e-10	1	1	1	PA
SORBI_3005G012200	non-specific serine_threonine protein kinase	SERINE_THREONINE-PROTEIN KINASE WNK4-RELATED (PTHR13902:SF132)	non-receptor serine/threonine protein kinase(PC00167)	protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524)	intracellular signal transduction(GO:0035556)	cytoplasm(GO:0005737)	5	1118386	1126595	9.632672e-10	8	0.794715	2	PA; Sum_PA_over_PS_log10ratio
SORBI_3005G012400	Polymerase nucleotidyl transferase domain-containing protein	POLYMERASE NUCLEOTIDYL TRANSFERASE DOMAIN-CONTAINING PROTEIN (PTHR45979:SF29)					5	1130396	1138678	9.632672e-10	8	1	2	PA; Sum_PA_over_PS_log10ratio
SORBI_3005G012800	DUF4220 domain-containing protein	DUF4220 DOMAIN-CONTAINING PROTEIN (PTHR31325:SF239)					5	1159290	1167251	9.632672e-10	8	0.744696	2	PA; Sum_PA_over_PS_log10ratio
SORBI_3005G013000	DUF295 domain-containing protein	DUF295 DOMAIN-CONTAINING PROTEIN (PTHR33800:SF26)					5	1169382	1173104	9.632672e-10	2	0.814378	1	PA
SORBI_3005G013050	DUF295 domain-containing protein	DUF295 DOMAIN-CONTAINING PROTEIN (PTHR33800:SF26)					5	1180435	1183192	9.632672e-10	2	0.818127	1	PA
SORBI_3005G013200	BAH domain-containing protein	PROTEIN ANTI-SILENCING 1 (PTHR47073:SF2)		nucleic acid binding(GO:0003676);chromatin binding(GO:0003682)			5	1184142	1190269	9.632672e-10	2	0.819462	1	PA
SORBI_3005G013300	EGF-like calcium-binding domain-containing protein	VACUOLAR-SORTING RECEPTOR 1 (PTHR24034:SF166)	extracellular matrix structural protein(PC00103)	calcium ion binding(GO:0005509)		Golgi membrane(GO:0000139);COG complex(GO:0017119);clathrin-coated vesicle membrane(GO:0030665)	5	1190324	1194712	9.632672e-10	2	0.831302	1	PA
SORBI_3005G013500	WRKY domain-containing protein	WRKY DNA-BINDING DOMAIN SUPERFAMILY PROTEIN-RELATED (PTHR31282:SF89)	DNA-binding transcription factor(PC00218)	DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)	5	1224392	1225924	9.632672e-10	2	0.933144	1	PA
SORBI_3005G013600	WRKY domain-containing protein	OS12G0116400 PROTEIN (PTHR31282:SF7)	DNA-binding transcription factor(PC00218)	DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)	5	1235265	1241922	9.632672e-10	2	0.938617	1	PA
SORBI_3005G013700	Uncharacterized protein						5	1244182	1245382	9.632672e-10	2	0.447015	1	PA
SORBI_3005G013901	Uncharacterized protein						5	1250208	1253844	9.632672e-10	2	0.936723	1	PA
SORBI_3005G014100	Uncharacterized protein	SUBFAMILY NOT NAMED (PTHR47997:SF8)	homeodomain transcription factor(PC00119)			nucleus(GO:0005634)	5	1298696	1299984	9.632672e-10	2	0.915001	1	PA
SORBI_3005G017000	Protein kinase domain-containing protein	SERINE_THREONINE-PROTEIN KINASE PBL8-RELATED (PTHR45621:SF22)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524)			5	1511981	1517665	9.632672e-10	1	0.413527	1	PA
SORBI_3005G012700	DUF4220 domain-containing protein	DUF4220 DOMAIN-CONTAINING PROTEIN (PTHR31325:SF239)					5	1149776	1156277	1.041704e-09	8	0.603571	1	Sum_PA_over_PS_log10ratio
SORBI_3005G012900	No apical meristem-associated C-terminal domain-containing protein	NO-APICAL-MERISTEM-ASSOCIATED CARBOXY-TERMINAL DOMAIN PROTEIN (PTHR45125:SF3)					5	1174561	1176266	1.041704e-09	8	0.536278	1	Sum_PA_over_PS_log10ratio
SORBI_3005G014200	WRKY domain-containing protein	WRKY DOMAIN-CONTAINING PROTEIN (PTHR31282:SF107)	DNA-binding transcription factor(PC00218)	DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)	5	1302596	1304021	1.041704e-09	6	0.439011	1	Sum_PA_over_PS_log10ratio
SORBI_3005G014700	cysteine desulfurase	CYSTEINE DESULFURASE 1, CHLOROPLASTIC (PTHR43586:SF8)	lyase(PC00144)	pyridoxal phosphate binding(GO:0030170);cysteine desulfurase activity(GO:0031071)			5	1326641	1331863	1.041704e-09	8	0.638787	1	Sum_PA_over_PS_log10ratio
SORBI_3005G014800	AP2_ERF domain-containing protein	AP2_EREBP TRANSCRIPTION FACTOR SUPERFAMILY PROTEIN-RELATED (PTHR31190:SF200)		DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)	5	1333156	1334273	1.041704e-09	8	0.600776	1	Sum_PA_over_PS_log10ratio
SORBI_3006G244100	DUF295 domain-containing protein	F-BOX DOMAIN CONTAINING PROTEIN (PTHR44259:SF103)					6	58415317	58417264	2.868884e-09	1	0.543899	1	PA
SORBI_3006G244200	DUF295 domain-containing protein	DUF295 DOMAIN-CONTAINING PROTEIN (PTHR44259:SF34)					6	58419423	58421674	2.868884e-09	1	0.449209	1	PA
SORBI_3001G257300	F-box domain-containing protein	F-BOX DOMAIN-CONTAINING PROTEIN (PTHR34709:SF57)			response to temperature stimulus(GO:0009266)		1	30373901	30383397	3.16758e-09	3	0.898609	4	Sum_AEG_over_PS_log10ratio; Sum_MGDG_over_PS_log10ratio; Sum_PE_over_PS_log10ratio; Sum_PG_over_PS_log10ratio
SORBI_3001G257600	Uncharacterized protein						1	30455291	30456872	3.16758e-09	3	0.898609	4	Sum_AEG_over_PS_log10ratio; Sum_MGDG_over_PS_log10ratio; Sum_PE_over_PS_log10ratio; Sum_PG_over_PS_log10ratio
SORBI_3001G257650	Uncharacterized protein						1	30461724	30464527	3.16758e-09	3	0.898538	4	Sum_AEG_over_PS_log10ratio; Sum_MGDG_over_PS_log10ratio; Sum_PE_over_PS_log10ratio; Sum_PG_over_PS_log10ratio
SORBI_3001G257700	Small ribosomal subunit protein bS18c	F10K1.8 PROTEIN (PTHR13479:SF65)	ribosomal protein(PC00202)	structural constituent of ribosome(GO:0003735);small ribosomal subunit rRNA binding(GO:0070181)	translation(GO:0006412)	mitochondrial small ribosomal subunit(GO:0005763);ribosome(GO:0005840)	1	30464819	30468767	3.16758e-09	3	0.719135	4	Sum_AEG_over_PS_log10ratio; Sum_MGDG_over_PS_log10ratio; Sum_PE_over_PS_log10ratio; Sum_PG_over_PS_log10ratio
SORBI_3001G257800	Uncharacterized protein	OS10G0395150 PROTEIN (PTHR13140:SF755)	actin binding motor protein(PC00040)	cytoskeletal motor activity(GO:0003774);ATP binding(GO:0005524);actin filament binding(GO:0051015)	actin filament organization(GO:0007015);actin filament-based movement(GO:0030048)	actin cytoskeleton(GO:0015629);myosin complex(GO:0016459)	1	30474125	30525429	3.16758e-09	3	0.909019	4	Sum_AEG_over_PS_log10ratio; Sum_MGDG_over_PS_log10ratio; Sum_PE_over_PS_log10ratio; Sum_PG_over_PS_log10ratio
SORBI_3001G258000	Protein kinase domain-containing protein	OS10G0395000 PROTEIN (PTHR45621:SF209)		protein kinase activity(GO:0004672);ATP binding(GO:0005524)		plasma membrane(GO:0005886)	1	30557874	30560961	3.16758e-09	2	0.654969	6	Sum_AEG_over_PS_log10ratio; Sum_DGDG_over_PS_log10ratio; Sum_GalCer_over_PS_log10ratio; Sum_MGDG_over_PS_log10ratio; Sum_PE_over_PS_log10ratio; Sum_PG_over_PS_log10ratio
SORBI_3001G258100	Subtilisin-like protease	SUBTILISIN-LIKE PROTEASE SBT1.8 (PTHR10795:SF836)	serine protease(PC00203)	serine-type endopeptidase activity(GO:0004252);serine-type peptidase activity(GO:0008236)	proteolysis(GO:0006508)		1	30561196	30565169	3.16758e-09	2	0.689324	6	Sum_AEG_over_PS_log10ratio; Sum_DGDG_over_PS_log10ratio; Sum_GalCer_over_PS_log10ratio; Sum_MGDG_over_PS_log10ratio; Sum_PE_over_PS_log10ratio; Sum_PG_over_PS_log10ratio
SORBI_3001G258200	Calcineurin-like phosphoesterase domain-containing protein	SHEWANELLA-LIKE PROTEIN PHOSPHATASE 1 (PTHR46546:SF4)	protein phosphatase(PC00195)	hydrolase activity(GO:0016787)			1	30649723	30655105	3.16758e-09	2	0.669057	6	Sum_AEG_over_PS_log10ratio; Sum_DGDG_over_PS_log10ratio; Sum_GalCer_over_PS_log10ratio; Sum_MGDG_over_PS_log10ratio; Sum_PE_over_PS_log10ratio; Sum_PG_over_PS_log10ratio
SORBI_3001G258801	Uncharacterized protein						1	30840643	30844920	3.16758e-09	2	0.796231	6	Sum_AEG_over_PS_log10ratio; Sum_DGDG_over_PS_log10ratio; Sum_GalCer_over_PS_log10ratio; Sum_MGDG_over_PS_log10ratio; Sum_PE_over_PS_log10ratio; Sum_PG_over_PS_log10ratio
