GeneID	GeneName	Family_SubFamily	Protein_class	GO_MF	GO_BP	GO_CC	Chromosome	Gene_Start	Gene_End	Best_SNP	Best_SNP_Position	Best_P_Value	N_Phenotypes	Phenotypes	All_SNPs	N_SNPs	P_Values
SORBI_3001G189500	L-gulonolactone oxidase	L-GULONOLACTONE OXIDASE 5 (PTHR13878:SF67)	oxidase(PC00175)	"catalytic activity(GO:0003824);D-arabinono-1,4-lactone oxidase activity(GO:0003885);oxidoreductase activity(GO:0016491);L-gulonolactone oxidase activity(GO:0050105);flavin adenine dinucleotide binding(GO:0050660);FAD binding(GO:0071949)"	L-ascorbic acid biosynthetic process(GO:0019853)	membrane(GO:0016020)	1	16747692	16753403	SNP_16775346	16775346	4.33E-13	6	"11,14,17-Eicosatrienoic acid,(Z,Z,Z)-; 13-Keto-9Z,11E-octadecadienoic acid; 13S-HOTrE; 9,12,13,TriHODE; Hydroperoxy fatty acid (18:3); Oxo fatty acid (18:3)"	SNP_16775346; SNP_16740319; SNP_16732391	3	4.3e-13; 3.3e-09; 3.3e-09; 6.6e-09; 7.5e-09; 5.7e-09
SORBI_3010G170800	Uncharacterized protein						10	50232834	50233667	SNP_50225693	50225693	1.23E-12	6	"11,14,17-Eicosatrienoic acid,(Z,Z,Z)-; TG(18:2_18:2_18:4); TG(18:2_18:3_22:1); TG(18:2_20:2_22:2); TG(18:2_20:3_22:0); TG(18:3_18:3_18:3)"	SNP_50225693; SNP_50236676; SNP_50238215; SNP_50214823; SNP_50214902	5	2.5e-09; 4.0e-09; 4.7e-12; 1.4e-09; 1.2e-12; 5.1e-11
SORBI_3010G170900	FHA domain-containing protein	SMAD_FHA DOMAIN-CONTAINING PROTEIN (PTHR37733:SF1)					10	50234992	50237132	SNP_50225693	50225693	1.23E-12	6	"11,14,17-Eicosatrienoic acid,(Z,Z,Z)-; TG(18:2_18:2_18:4); TG(18:2_18:3_22:1); TG(18:2_20:2_22:2); TG(18:2_20:3_22:0); TG(18:3_18:3_18:3)"	SNP_50225693; SNP_50236676; SNP_50238215; SNP_50214823; SNP_50214902	5	2.5e-09; 4.0e-09; 4.7e-12; 1.4e-09; 1.2e-12; 5.1e-11
SORBI_3010G150701	Uncharacterized protein						10	43516457	43518915	SNP_43538082	43538082	5.94E-12	6	"13-Keto-9Z,11E-octadecadienoic acid; 13S-HOTrE; 9,12,13,TriHODE; Hydroperoxy fatty acid (18:3); Oxo fatty acid (18:3); SQDG(16:0_18:1)"	SNP_43538082; SNP_43539815	2	5.9e-12; 5.9e-12; 2.6e-09; 1.1e-09; 3.1e-09; 2.7e-10
SORBI_3001G189200	Peroxidase	PEROXIDASE (PTHR31235:SF254)	peroxidase(PC00180)	catalytic activity(GO:0003824);peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to stress(GO:0006950);response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576);plant-type cell wall(GO:0009505)	1	16731943	16734001	SNP_16749154	16749154	2.82E-11	6	"11,14,17-Eicosatrienoic acid,(Z,Z,Z)-; 13-Keto-9Z,11E-octadecadienoic acid; 13S-HOTrE; 9,12,13,TriHODE; Hydroperoxy fatty acid (18:3); Oxo fatty acid (18:3)"	SNP_16749154; SNP_16740319; SNP_16732391	3	2.8e-11; 3.3e-09; 3.3e-09; 6.6e-09; 7.5e-09; 5.7e-09
SORBI_3001G189300	4-coumarate--CoA ligase-like 7	4-COUMARATE--COA LIGASE-LIKE 7 (PTHR24096:SF346)	ligase(PC00142)	nucleotide binding(GO:0000166);ATP binding(GO:0005524);4-coumarate-CoA ligase activity(GO:0016207);CoA-ligase activity(GO:0016405);ligase activity(GO:0016874);acid-thiol ligase activity(GO:0016878)			1	16735178	16740816	SNP_16749154	16749154	2.82E-11	6	"11,14,17-Eicosatrienoic acid,(Z,Z,Z)-; 13-Keto-9Z,11E-octadecadienoic acid; 13S-HOTrE; 9,12,13,TriHODE; Hydroperoxy fatty acid (18:3); Oxo fatty acid (18:3)"	SNP_16749154; SNP_16740319; SNP_16732391	3	2.8e-11; 3.3e-09; 3.3e-09; 6.6e-09; 7.5e-09; 5.7e-09
SORBI_3001G189400	BTB domain-containing protein	MAB1 (PTHR26379:SF469)			protein ubiquitination(GO:0016567)		1	16745129	16745730	SNP_16749154	16749154	2.82E-11	6	"11,14,17-Eicosatrienoic acid,(Z,Z,Z)-; 13-Keto-9Z,11E-octadecadienoic acid; 13S-HOTrE; 9,12,13,TriHODE; Hydroperoxy fatty acid (18:3); Oxo fatty acid (18:3)"	SNP_16749154; SNP_16740319; SNP_16732391	3	2.8e-11; 3.3e-09; 3.3e-09; 6.6e-09; 7.5e-09; 5.7e-09
SORBI_3009G021700	DUF4005 domain-containing protein	OS05G0120300 PROTEIN (PTHR35304:SF1)					9	1942720	1944208	SNP_1931376	1931376	3.69E-14	5	PC(18:1_20:4); PC(18:2_20:4); TG(12:0_16:0_16:0); TG(14:0_14:0_18:0); TG(14:0_18:3_18:3)	SNP_1931376; SNP_1937520; SNP_1945827	3	1.2e-09; 3.7e-14; 2.4e-10; 2.4e-10; 1.5e-10
SORBI_3009G021800	Uncharacterized protein						9	1949352	1950024	SNP_1931376	1931376	3.69E-14	5	PC(18:1_20:4); PC(18:2_20:4); TG(12:0_16:0_16:0); TG(14:0_14:0_18:0); TG(14:0_18:3_18:3)	SNP_1931376; SNP_1937520; SNP_1945827	3	1.2e-09; 3.7e-14; 2.4e-10; 2.4e-10; 1.5e-10
SORBI_3009G021900	Uncharacterized protein						9	1949362	1953233	SNP_1931376	1931376	3.69E-14	5	PC(18:1_20:4); PC(18:2_20:4); TG(12:0_16:0_16:0); TG(14:0_14:0_18:0); TG(14:0_18:3_18:3)	SNP_1931376; SNP_1937520; SNP_1945827	3	1.2e-09; 3.7e-14; 2.4e-10; 2.4e-10; 1.5e-10
SORBI_3010G170600	HSF-type DNA-binding domain-containing protein	HEAT STRESS TRANSCRIPTION FACTOR A-2 (PTHR10015:SF338)	winged helix/forkhead transcription factor(PC00246)	RNA polymerase II cis-regulatory region sequence-specific DNA binding(GO:0000978);DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565)	regulation of DNA-templated transcription(GO:0006355);response to heat(GO:0009408);cellular response to heat(GO:0034605)	nucleus(GO:0005634)	10	50202452	50204430	SNP_50225693	50225693	1.23E-12	5	"11,14,17-Eicosatrienoic acid,(Z,Z,Z)-; TG(18:2_18:2_18:4); TG(18:2_20:2_22:2); TG(18:2_20:3_22:0); TG(18:3_18:3_18:3)"	SNP_50225693; SNP_50214823; SNP_50214902	3	2.5e-09; 4.0e-09; 1.4e-09; 1.2e-12; 8.7e-11
SORBI_3010G170700	Uncharacterized protein						10	50208050	50209803	SNP_50225693	50225693	1.23E-12	5	"11,14,17-Eicosatrienoic acid,(Z,Z,Z)-; TG(18:2_18:2_18:4); TG(18:2_20:2_22:2); TG(18:2_20:3_22:0); TG(18:3_18:3_18:3)"	SNP_50225693; SNP_50214823; SNP_50214902	3	2.5e-09; 4.0e-09; 1.4e-09; 1.2e-12; 8.7e-11
SORBI_3003G082800	Uncharacterized protein	OS08G0543400 PROTEIN (PTHR31642:SF16)	acetyltransferase(PC00038)	"transferase activity(GO:0016740);acyltransferase activity(GO:0016746);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747)"			3	7095979	7098307	SNP_7081455	7081455	1.37E-12	5	"13-Keto-9Z,11E-octadecadienoic acid; 13S-HOTrE; 9,12,13,TriHODE; Oxo fatty acid (18:3); TG(14:0_18:3_18:3)"	SNP_7081455; SNP_7120849	2	4.0e-12; 4.0e-12; 5.3e-09; 3.8e-09; 1.4e-12
SORBI_3003G082900	Uncharacterized protein	OS08G0543400 PROTEIN (PTHR31642:SF16)	acetyltransferase(PC00038)	"transferase activity(GO:0016740);acyltransferase activity(GO:0016746);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747)"			3	7101247	7103516	SNP_7081455	7081455	1.37E-12	5	"13-Keto-9Z,11E-octadecadienoic acid; 13S-HOTrE; 9,12,13,TriHODE; Oxo fatty acid (18:3); TG(14:0_18:3_18:3)"	SNP_7081455; SNP_7120849	2	4.0e-12; 4.0e-12; 5.3e-09; 3.8e-09; 1.4e-12
