Condition	GeneID	Gene_Chr	Gene_Start	Gene_End	N_Traits	N_Traits_indiv	N_Traits_sumrat	N_sig_SNPs	Best_P	Max_r2	Traits
CTL	SORBI_3005G148500	5	61659987	61667430	13	13	0	13	1.551627e-16	0.521234	TG(16:0_16:0_18:1) | TG(16:0_16:0_18:2) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:0_18:1_22:1) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2) | TG(18:1_18:2_18:2)
CTL	SORBI_3005G149000	5	61740897	61747039	13	13	0	13	1.551627e-16	0.741279	TG(16:0_16:0_18:1) | TG(16:0_16:0_18:2) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:0_18:1_22:1) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2) | TG(18:1_18:2_18:2)
CTL	SORBI_3010G140800	10	32680719	32683021	13	13	0	14	1.235556e-14	0.920292	9,12,13,TriHODE | Oxo fatty acid (18:3) | TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2) | trans-EKODE-(E)-Ib
CTL	SORBI_3005G110120	5	24097855	24100470	12	12	0	12	8.186128e-15	0.82592	PC(16:1_16:1) | TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2) | TG(18:1_18:2_18:2)
CTL	SORBI_3005G110160	5	24125145	24127909	12	12	0	12	8.186128e-15	0.81876	PC(16:1_16:1) | TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2) | TG(18:1_18:2_18:2)
CTL	SORBI_3001G259000	1	31003967	31011085	12	9	3	18	1.726483e-11	0.696232	Sum_DGDG_over_PS_log10ratio | Sum_GalCer_over_PS_log10ratio | Sum_MGDG_over_PS_log10ratio | TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3001G318000	1	60644084	60645212	11	11	0	15	3.053225e-16	0.585869	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2) | TG(18:1_18:2_18:2)
CTL	SORBI_3001G318100	1	60647011	60650614	11	11	0	15	3.053225e-16	1	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2) | TG(18:1_18:2_18:2)
CTL	SORBI_3006G049666	6	36241318	36243165	11	11	0	39	1.18068e-14	0.926102	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2) | TG(18:1_18:2_18:2)
CTL	SORBI_3006G044466	6	31026444	31036937	11	11	0	29	9.34374e-14	0.963195	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2) | TG(18:1_18:2_18:2)
