trait,condition,layer,SNP,chr,ps,p_wald,gene,r2
Sum_AEG_over_DG_log10safe,CTL,sumratio,10:20771476,10,20771476,1.79141e-22,SORBI_3010G136450,0.9533
Sum_AEG_over_DG_log10safe,CTL,sumratio,10:20771607,10,20771607,1.79141e-22,SORBI_3010G136450,0.9533
Sum_AEG_over_DG_log10safe,CTL,sumratio,10:20771476,10,20771476,1.79141e-22,SORBI_3010G136500,0.924692
Sum_AEG_over_DG_log10safe,CTL,sumratio,10:20771476,10,20771476,1.79141e-22,SORBI_3010G136601,0.924692
Sum_AEG_over_DG_log10safe,CTL,sumratio,10:20771607,10,20771607,1.79141e-22,SORBI_3010G136500,0.924692
Sum_AEG_over_DG_log10safe,CTL,sumratio,10:20771607,10,20771607,1.79141e-22,SORBI_3010G136601,0.924692
Sum_AEG_over_DG_log10safe,CTL,sumratio,10:20771476,10,20771476,1.79141e-22,SORBI_3010G136600,0.920827
Sum_AEG_over_DG_log10safe,CTL,sumratio,10:20771607,10,20771607,1.79141e-22,SORBI_3010G136600,0.920827
Sum_AEG_over_DG_log10safe,CTL,sumratio,10:20771476,10,20771476,1.79141e-22,SORBI_3010G136500,0.920722
Sum_AEG_over_DG_log10safe,CTL,sumratio,10:20771476,10,20771476,1.79141e-22,SORBI_3010G136601,0.920722
Sum_AEG_over_DG_log10safe,CTL,sumratio,10:20771607,10,20771607,1.79141e-22,SORBI_3010G136500,0.920722
Sum_AEG_over_DG_log10safe,CTL,sumratio,10:20771607,10,20771607,1.79141e-22,SORBI_3010G136601,0.920722
Sum_AEG_over_DG_log10safe,CTL,sumratio,10:20771476,10,20771476,1.79141e-22,SORBI_3010G136600,0.920663
Sum_AEG_over_DG_log10safe,CTL,sumratio,10:20771607,10,20771607,1.79141e-22,SORBI_3010G136600,0.920663
Sum_AEG_over_DG_log10safe,CTL,sumratio,10:20771476,10,20771476,1.79141e-22,SORBI_3010G136600,0.916752
Sum_AEG_over_DG_log10safe,CTL,sumratio,10:20771607,10,20771607,1.79141e-22,SORBI_3010G136600,0.916752
Sum_AEG_over_DG_log10safe,CTL,sumratio,10:20771476,10,20771476,1.79141e-22,SORBI_3010G136600,0.913223
Sum_AEG_over_DG_log10safe,CTL,sumratio,10:20771607,10,20771607,1.79141e-22,SORBI_3010G136600,0.913223
Sum_AEG_over_DG_log10safe,CTL,sumratio,10:20771476,10,20771476,1.79141e-22,SORBI_3010G136600,0.912976
Sum_AEG_over_DG_log10safe,CTL,sumratio,10:20771607,10,20771607,1.79141e-22,SORBI_3010G136600,0.912976
Sum_AEG_over_DG_log10safe,CTL,sumratio,10:20771476,10,20771476,1.79141e-22,SORBI_3010G136200,0.909128
