Condition	Layer	Trait	GeneID	Gene_Chr	Gene_Start	Gene_End	N_sig_SNPs	Best_P	Lead_SNP	Lead_Chr	Lead_BP	Max_r2
CTL	individual_lipids_final	TG(16:0_16:0_18:1)	SORBI_3005G148500	5	61659987	61667430	1	1.551627e-16	SNP_61715312	5	61715312	0.521234
CTL	individual_lipids_final	TG(16:0_16:0_18:1)	SORBI_3005G149000	5	61740897	61747039	1	1.551627e-16	SNP_61715312	5	61715312	0.741279
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3001G318000	1	60644084	60645212	3	3.053225e-16	SNP_60651888	1	60651888	0.585869
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3001G318100	1	60647011	60650614	3	3.053225e-16	SNP_60651888	1	60651888	1
CTL	individual_lipids_final	TG(16:0_18:1_18:2)	SORBI_3005G148500	5	61659987	61667430	1	1.816391e-15	SNP_61715312	5	61715312	0.521234
CTL	individual_lipids_final	TG(16:0_18:1_18:2)	SORBI_3005G149000	5	61740897	61747039	1	1.816391e-15	SNP_61715312	5	61715312	0.741279
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3001G318000	1	60644084	60645212	1	3.450937e-15	SNP_60651888	1	60651888	0.467674
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3001G318100	1	60647011	60650614	1	3.450937e-15	SNP_60651888	1	60651888	0.489643
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3006G049700	6	36626672	36630941	2	6.595057e-15	SNP_36770981	6	36770981	0.934293
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3006G049900	6	36790405	36795881	2	6.595057e-15	SNP_36770981	6	36770981	0.939332
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3006G050000	6	36803025	36807791	2	6.595057e-15	SNP_36770981	6	36770981	0.486311
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3006G050050	6	36893354	36896021	2	6.595057e-15	SNP_36770981	6	36770981	0.932377
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3005G110120	5	24097855	24100470	1	8.186128e-15	SNP_24255190	5	24255190	0.81876
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3005G110160	5	24125145	24127909	1	8.186128e-15	SNP_24255190	5	24255190	0.81876
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3006G049700	6	36626672	36630941	1	8.325434e-15	SNP_36770981	6	36770981	0.934293
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3006G049900	6	36790405	36795881	1	8.325434e-15	SNP_36770981	6	36770981	0.939332
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3006G050000	6	36803025	36807791	1	8.325434e-15	SNP_36770981	6	36770981	0.486311
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3006G050050	6	36893354	36896021	1	8.325434e-15	SNP_36770981	6	36770981	0.932377
CTL	individual_lipids_final	TG(16:1_18:1_18:1)	SORBI_3005G148500	5	61659987	61667430	1	8.887043e-15	SNP_61715312	5	61715312	0.521234
CTL	individual_lipids_final	TG(16:1_18:1_18:1)	SORBI_3005G149000	5	61740897	61747039	1	8.887043e-15	SNP_61715312	5	61715312	0.741279
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3005G110120	5	24097855	24100470	1	1.160833e-14	SNP_24255190	5	24255190	0.81876
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3005G110160	5	24125145	24127909	1	1.160833e-14	SNP_24255190	5	24255190	0.81876
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3006G049600	6	35879991	35916918	4	1.18068e-14	SNP_36116767	6	36116767	0.977354
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3006G049633	6	35903080	35904540	4	1.18068e-14	SNP_36116767	6	36116767	0.963581
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3006G049666	6	36241318	36243165	4	1.18068e-14	SNP_36116767	6	36116767	0.926102
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3010G140800	10	32680719	32683021	1	1.235556e-14	SNP_32594255	10	32594255	0.864546
CTL	individual_lipids_final	TG(16:0_18:0_18:2)	SORBI_3005G148500	5	61659987	61667430	1	1.237501e-14	SNP_61715312	5	61715312	0.521234
CTL	individual_lipids_final	TG(16:0_18:0_18:2)	SORBI_3005G149000	5	61740897	61747039	1	1.237501e-14	SNP_61715312	5	61715312	0.741279
CTL	individual_lipids_final	TG(16:0_18:1_20:1)	SORBI_3010G140800	10	32680719	32683021	1	2.016355e-14	SNP_32594255	10	32594255	0.864546
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3010G140800	10	32680719	32683021	2	2.167278e-14	SNP_32594255	10	32594255	0.920292
CTL	individual_lipids_final	TG(18:0_18:2_18:2)	SORBI_3001G318000	1	60644084	60645212	1	2.264409e-14	SNP_60651888	1	60651888	0.467674
CTL	individual_lipids_final	TG(18:0_18:2_18:2)	SORBI_3001G318100	1	60647011	60650614	1	2.264409e-14	SNP_60651888	1	60651888	0.489643
CTL	individual_lipids_final	TG(18:0_18:2_18:2)	SORBI_3005G110120	5	24097855	24100470	1	2.36019e-14	SNP_24255190	5	24255190	0.81876
CTL	individual_lipids_final	TG(18:0_18:2_18:2)	SORBI_3005G110160	5	24125145	24127909	1	2.36019e-14	SNP_24255190	5	24255190	0.81876
CTL	individual_lipids_final	TG(16:0_18:1_20:1)	SORBI_3007G113900	7	46103134	46116346	1	2.859644e-14	SNP_46143003	7	46143003	0.871228
CTL	individual_lipids_final	TG(16:0_18:1_20:1)	SORBI_3001G318000	1	60644084	60645212	3	3.732813e-14	SNP_60651888	1	60651888	0.585869
CTL	individual_lipids_final	TG(16:0_18:1_20:1)	SORBI_3001G318100	1	60647011	60650614	3	3.732813e-14	SNP_60651888	1	60651888	1
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3006G049666	6	36241318	36243165	4	4.158042e-14	SNP_36376888	6	36376888	0.926102
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G105500	8	49760626	49764366	4	4.627337e-14	SNP_49914919	8	49914919	0.725433
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G105600	8	49771416	49773467	4	4.627337e-14	SNP_49914919	8	49914919	0.879194
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G105800	8	49839493	49844969	4	4.627337e-14	SNP_49914919	8	49914919	0.862789
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G105850	8	49873777	49874654	4	4.627337e-14	SNP_49914919	8	49914919	0.810974
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G105900	8	49873779	49877757	4	4.627337e-14	SNP_49914919	8	49914919	0.810974
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G106200	8	49976166	49984597	4	4.627337e-14	SNP_49914919	8	49914919	0.729909
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G106301	8	50023248	50024607	4	4.627337e-14	SNP_49914919	8	49914919	0.607813
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G106500	8	50133783	50134613	2	4.627337e-14	SNP_49914919	8	49914919	0.597778
